All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         contigs
# misassemblies                  4      
    # relocations                4      
    # translocations             0      
    # inversions                 0      
# possibly misassembled contigs  1      
# misassembled contigs           3      
Misassembled contigs length      711322 
# local misassemblies            1      
# mismatches                     11214  
# indels                         20     
    # short indels               20     
    # long indels                0      
Indels length                    20     
