All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         final.contigs
# misassemblies                  0            
    # relocations                0            
    # translocations             0            
    # inversions                 0            
# possibly misassembled contigs  1            
# misassembled contigs           0            
Misassembled contigs length      0            
# local misassemblies            2            
# mismatches                     1260         
# indels                         3            
    # short indels               1            
    # long indels                2            
Indels length                    31           
