All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     contigs
# misassemblies              2      
    # relocations            2      
    # translocations         0      
    # inversions             0      
# misassembled contigs       2      
Misassembled contigs length  199773 
# local misassemblies        7      
# mismatches                 675    
# indels                     13     
    # short indels           11     
    # long indels            2      
Indels length                94     
