All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         scaffolds
# misassemblies                  178      
    # relocations                151      
    # translocations             0        
    # inversions                 27       
# possibly misassembled contigs  3        
# misassembled contigs           38       
Misassembled contigs length      3564233  
# local misassemblies            6        
# mismatches                     60048    
# indels                         54       
    # short indels               54       
    # long indels                0        
Indels length                    62       
