All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     final.contigs
# misassemblies              14           
    # relocations            14           
    # translocations         0            
    # inversions             0            
# misassembled contigs       14           
Misassembled contigs length  31146        
# local misassemblies        0            
# mismatches                 51550        
# indels                     65           
    # short indels           65           
    # long indels            0            
Indels length                69           
