All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     contigs
# misassemblies              12     
    # relocations            12     
    # translocations         0      
    # inversions             0      
# misassembled contigs       12     
Misassembled contigs length  19697  
# local misassemblies        3      
# mismatches                 11067  
# indels                     19     
    # short indels           19     
    # long indels            0      
Indels length                24     
