All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         scaffolds
# misassemblies                  221      
    # relocations                185      
    # translocations             0        
    # inversions                 36       
# possibly misassembled contigs  1        
# misassembled contigs           44       
Misassembled contigs length      4158295  
# local misassemblies            11       
# mismatches                     59391    
# indels                         65       
    # short indels               64       
    # long indels                1        
Indels length                    75       
