Assembly	scaffolds
# contigs (>= 1000 bp)	7
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	2
# contigs (>= 50000 bp)	1
Total length (>= 1000 bp)	125287
Total length (>= 5000 bp)	116113
Total length (>= 10000 bp)	116113
Total length (>= 25000 bp)	116113
Total length (>= 50000 bp)	87733
# contigs	14
Largest contig	87733
Total length	130446
GC (%)	51.67
N50	87733
N75	28380
L50	1
L75	2
# N's per 100 kbp	0.00
