Assembly	contigs
# misassemblies	20
    # relocations	18
    # translocations	0
    # inversions	2
# possibly misassembled contigs	0
# misassembled contigs	1
Misassembled contigs length	210680
# local misassemblies	3
# mismatches	35796
# indels	53
    # short indels	52
    # long indels	1
Indels length	62
