All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         scaffolds
# misassemblies                  268      
    # relocations                236      
    # translocations             0        
    # inversions                 32       
# possibly misassembled contigs  4        
# misassembled contigs           38       
Misassembled contigs length      4252810  
# local misassemblies            6        
# mismatches                     47683    
# indels                         63       
    # short indels               62       
    # long indels                1        
Indels length                    72       
