All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     final.contigs
# misassemblies              12           
    # relocations            12           
    # translocations         0            
    # inversions             0            
# misassembled contigs       12           
Misassembled contigs length  20015        
# local misassemblies        5            
# mismatches                 25137        
# indels                     13           
    # short indels           12           
    # long indels            1            
Indels length                97           
