All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     final.contigs
# misassemblies              5            
    # relocations            5            
    # translocations         0            
    # inversions             0            
# misassembled contigs       5            
Misassembled contigs length  31226        
# local misassemblies        3            
# mismatches                 10782        
# indels                     1            
    # short indels           0            
    # long indels            1            
Indels length                24           
