All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                           final.contigs
# misassemblies                    2            
    # relocations                  0            
    # translocations               0            
    # inversions                   1            
    # interspecies translocations  1            
# possibly misassembled contigs    0            
# misassembled contigs             2            
Misassembled contigs length        5828         
# local misassemblies              0            
# mismatches                       44284        
# indels                           5            
    # short indels                 5            
    # long indels                  0            
Indels length                      5            
