All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     final.contigs
# misassemblies              3            
    # relocations            2            
    # translocations         0            
    # inversions             1            
# misassembled contigs       3            
Misassembled contigs length  1599         
# local misassemblies        1            
# mismatches                 5566         
# indels                     2            
    # short indels           2            
    # long indels            0            
Indels length                2            
