Assembly	final.contigs
# misassemblies	12
    # relocations	6
    # translocations	0
    # inversions	6
# misassembled contigs	12
Misassembled contigs length	13727
# local misassemblies	5
# mismatches	53311
# indels	75
    # short indels	74
    # long indels	1
Indels length	82
