strain	ancestor consensus	evolved consensus	ancestor strain	evolved strain
Campylobacter_jejuni	99.673	98.293	98.293	99.673
Shigella_flexneri_2a_str._2457T	93.083	93.083	99.848	99.848
Porphyromonas_gingivalis	99.983	95.855	99.983	95.855
Corynebacterium_diphtheriae	97.669	97.669	99.937	99.937
Mycobacterium_leprae	99.964	97.996	99.964	97.996
Chlorobaculum_tepidum	99.904	98.712	98.712	99.904
Enterococcus_faecalis	99.968	98.518	99.968	98.518
Tropheryma_whipplei_str._Twist	96.583	97.978	97.978	96.583
Escherichia_coli_O157_H7	94.94	99.962	94.94	99.962
Thermoplasma_acidophilum	99.914	99.962	99.962	99.914
Fibrobacter_succinogenes_subsp._succinogenes_S85	99.474	NA	99.474	NA
Sulfolobus_tokodaii	99.976	99.976	98.559	98.559
Chromobacterium_violaceum	98.114	99.696	99.696	98.114
Neisseria_meningitidis_serogroup_A	99.958	95.598	95.598	99.958
Neisseria_meningitidis_serogroup_B	99.976	99.976	93.517	93.517
Mycoplasma_pneumoniae	99.959	99.959	97.109	97.109
Bifidobacterium_longum	99.979	97.978	99.979	97.978
Synechocystis_sp._PCC_6803	98.625	98.625	99.966	99.966
Pyrococcus_horikoshii	99.91	99.91	99.963	99.963
Bordetella_parapertussis	99.942	98.628	98.628	99.942
Photorhabdus_luminescens_subsp._laumondii	95.247	NA	95.247	NA
Thermotoga_maritima	99.533	99.533	99.976	99.976
Streptococcus_agalactiae_serogroup_V	96.956	99.998	96.956	99.998
Lactobacillus_plantarum	98.408	98.408	99.968	99.968
Listeria_monocytogenes	99.963	98.63	98.63	99.963
Methanosarcina_mazei	96.348	99.974	99.974	96.348
Oceanobacillus_iheyensis	98.51	98.51	99.834	99.834
Chlamydophila_caviae	99.759	99.759	99.935	99.935
Solibacter_usitatus_Ellin6076	99.764	98.404	98.404	99.764
Caenorhabditis_briggsae	92.556	92.556	96.559	96.559
Prochlorococcus_marinus_str._MIT_9313	99.085	99.783	99.783	99.085
Mycoplasma_mobile_163K	97.897	98.78	97.897	98.78
Tropheryma_whipplei_TW0827	96.869	99.908	96.869	99.908
Chlamydia_trachomatis	99.949	99.401	99.401	99.949
Methanopyrus_kandleri	99.937	99.937	99.415	99.882
Pseudomonas_syringae_pv._tomato	96.262	99.95	96.262	99.95
Shigella_flexneri	99.96	92.072	92.072	99.96
Rhodopseudomonas_palustris	99.937	99.937	99.658	99.658
Gloeobacter_violaceus	99.28	99.734	99.734	99.28
Methanothermobacter_thermautotrophicus_str._Delta_H	NA	99.996	NA	99.996
Rickettsia_conorii	99.762	99.762	99.95	99.95
Leishmania_major	93.348	99.97	99.97	93.348
Thermoplasma_volcanium	99.951	99.461	99.461	99.951
Pseudomonas_aeruginosa	96.033	99.952	99.952	96.033
Helicobacter_hepaticus	99.959	99.959	99.526	99.526
Streptococcus_agalactiae_serogroup_III	99.97	99.97	93.278	93.278
Mycoplasma_genitalium	99.576	99.944	99.944	99.576
Haemophilus_influenzae	97.252	98.821	97.252	98.821
Pasteurella_multocida	98.658	99.959	98.658	99.959
Prochlorococcus_marinus	99.921	98.626	98.626	99.921
Corynebacterium_glutamicum	99.971	99.971	97.578	97.578
Archaeoglobus_fulgidus	99.985	99.144	99.985	99.144
Staphylococcus_aureus_subsp._aureus_N315	NA	99.919	NA	99.919
Corynebacterium_efficiens	99.968	96.611	96.611	99.968
Geobacter_sulfurreducens	99.044	99.97	99.97	99.044
Yersinia_pestis_KIM	99.883	95.254	95.254	99.883
Bacillus_cereus_ATCC_10987	99.575	98.481	98.481	99.575
Pseudomonas_putida_KT2440	97.892	99.984	97.892	99.984
Sinorhizobium_meliloti	99.959	99.959	98.085	98.085
Lactobacillus_johnsonii	99.952	97.34	97.34	99.952
Chlamydophila_pneumoniae_CWL029	98.778	99.634	99.634	98.778
Streptomyces_coelicolor	99.858	98.8	99.92	98.8
Helicobacter_pylori	99.875	97.607	99.875	97.607
Dehalococcoides_ethenogenes_195	94.081	99.962	94.081	99.962
Rickettsia_prowazekii	99.837	99.675	99.675	99.837
Wigglesworthia_glossinidia_endosymbiont_of_Glossina_brevipalpis	99.147	NA	99.147	NA
Synechococcus_sp._WH_8102	99.929	98.882	98.882	99.929
Nitrosomonas_europaea	99.973	99.973	96.246	96.246
Mycoplasma_penetrans	99.929	97.205	99.929	97.205
Bacillus_anthracis_str._Ames	99.927	99.927	98.847	98.847
Chlamydophila_pneumoniae_AR39	99.774	99.774	99.41	99.41
Escherichia_coli	98.48	99.942	98.48	99.942
Xylella_fastidiosa_Temecula1	95.321	95.321	99.966	99.966
Treponema_denticola	99.986	99.986	99.032	99.032
Helicobacter_pylori_J99	99.974	95.589	95.589	99.974
Bacillus_cereus_ATCC_14579	98.447	99.722	99.722	98.447
Mycobacterium_avium_subsp._paratuberculosis	NA	99.908	NA	99.908
Sulfolobus_solfataricus	99.954	93.199	99.954	93.199
Lactococcus_lactis_subsp._lactis	95.884	99.961	99.961	95.884
Xanthomonas_axonopodis_pv._citri	99.619	98.936	99.619	98.936
Borrelia_burgdorferi	99.862	99.265	99.265	99.862
Staphylococcus_aureus_subsp._aureus_MW2	98.68	NA	98.68	NA
Bordetella_bronchiseptica	99.931	99.931	97.872	97.872
Mycobacterium_tuberculosis_CDC1551	98.887	99.849	99.849	98.887
Buchnera_aphidicola_Schizaphis_graminum	NA	99.953	NA	99.953
Haemophilus_ducreyi	98.888	96.737	98.888	96.737
Mycobacterium_tuberculosis_H37Rv	99.968	98.687	99.968	98.687
Clostridium_tetani	98.859	98.859	99.784	99.784
