strain	ancestor consensus	evolved consensus	ancestor strain	evolved strain
Campylobacter_jejuni	2356	2417	2417	2342
Shigella_flexneri_2a_str._2457T	2419	2405	2813	2823
Porphyromonas_gingivalis	2623	2336	2650	2323
Corynebacterium_diphtheriae	2613	2613	2733	2733
Photorhabdus_luminescens_subsp._laumondii	3624	NA	3624	NA
Chlorobaculum_tepidum	2760	2758	2646	2688
Enterococcus_faecalis	2611	2634	2476	2482
Tropheryma_whipplei_str._Twist	2385	2608	2608	2394
Escherichia_coli_O157_H7	2500	2723	2471	2750
Thermoplasma_acidophilum	2847	2847	2730	2734
Fibrobacter_succinogenes_subsp._succinogenes_S85	NA	4212	NA	4212
Sulfolobus_tokodaii	2169	2339	2339	2171
Chromobacterium_violaceum	2438	2470	2477	2430
Neisseria_meningitidis_serogroup_A	2662	2208	2208	2659
Neisseria_meningitidis_serogroup_B	2270	2290	2873	2873
Mycoplasma_pneumoniae	2660	2289	2660	2289
Bifidobacterium_longum	2674	2545	2664	2545
Synechocystis_sp._PCC_6803	2635	2703	2633	2697
Pyrococcus_horikoshii	2628	2662	2653	2604
Bordetella_parapertussis	2184	2293	2203	2285
Mycobacterium_leprae	2538	2393	2556	2383
Thermotoga_maritima	2646	2777	2646	2791
Streptococcus_agalactiae_serogroup_V	2504	2490	2408	2380
Lactobacillus_plantarum	2614	2637	2661	2661
Listeria_monocytogenes	2550	2480	2553	2462
Methanosarcina_mazei	2358	2684	2677	2354
Oceanobacillus_iheyensis	2454	2501	2454	2487
Chlamydophila_caviae	2878	2988	2922	2874
Solibacter_usitatus_Ellin6076	2623	2649	2535	2517
Caenorhabditis_briggsae	2304	2283	1943	1958
Prochlorococcus_marinus_str._MIT_9313	2605	2626	2710	2729
Mycoplasma_mobile_163K	1997	1929	1976	1920
Mycoplasma_genitalium	2200	2200	2034	2034
Chlamydia_trachomatis	2628	2574	2670	2690
Methanopyrus_kandleri	2714	2529	2714	2557
Pseudomonas_syringae_pv._tomato	2576	2793	2571	2816
Shigella_flexneri	2276	2657	2647	2270
Rhodopseudomonas_palustris	2525	2523	2521	2500
Gloeobacter_violaceus	2496	2551	2573	2488
Methanothermobacter_thermautotrophicus_str._Delta_H	NA	4154	NA	4154
Rickettsia_conorii	2483	2488	2483	2488
Leishmania_major	2268	2709	2708	2268
Thermoplasma_volcanium	2645	2623	2720	2720
Pseudomonas_aeruginosa	2355	2482	2327	2493
Helicobacter_hepaticus	2491	2581	2528	2581
Streptococcus_agalactiae_serogroup_III	2271	2259	2437	2437
Tropheryma_whipplei_TW0827	2648	2279	2648	2314
Haemophilus_influenzae	2284	2268	2258	2268
Pasteurella_multocida	2612	2594	2594	2588
Prochlorococcus_marinus	2644	2816	2621	2807
Corynebacterium_glutamicum	2560	2665	2674	2567
Archaeoglobus_fulgidus	2697	2699	2706	2712
Bacillus_subtilis	2751	2734	2867	2868
Staphylococcus_aureus_subsp._aureus_N315	NA	3513	NA	3513
Corynebacterium_efficiens	2531	2354	2544	2375
Geobacter_sulfurreducens	2604	2581	2716	2712
Yersinia_pestis_KIM	2786	2561	2582	2806
Bacillus_cereus_ATCC_10987	2368	2295	2358	2302
Pseudomonas_putida_KT2440	2561	2527	2513	2590
Sinorhizobium_meliloti	2491	2469	2360	2354
Lactobacillus_johnsonii	2325	2325	2382	2398
Chlamydophila_pneumoniae_CWL029	2696	2575	2606	2689
Streptomyces_coelicolor	2158	2209	2207	2174
Staphylococcus_epidermidis	2312	2427	2312	2427
Dehalococcoides_ethenogenes_195	2593	2735	2728	2496
Rickettsia_prowazekii	2131	2176	2140	2184
Wigglesworthia_glossinidia_endosymbiont_of_Glossina_brevipalpis	2628	NA	2628	NA
Synechococcus_sp._WH_8102	2736	2707	2601	2575
Nitrosomonas_europaea	2779	2779	2572	2572
Mycoplasma_penetrans	1918	1905	2139	2147
Bacillus_anthracis_str._Ames	2514	2496	2495	2532
Chlamydophila_pneumoniae_AR39	2735	2710	2694	2735
Escherichia_coli	2791	2631	2641	2772
Xylella_fastidiosa_Temecula1	2531	2674	2696	2519
Treponema_denticola	2654	2558	2557	2644
Helicobacter_pylori_J99	2540	2534	2349	2349
Bacillus_cereus_ATCC_14579	2477	2453	2514	2538
Mycobacterium_avium_subsp._paratuberculosis	3405	NA	3405	NA
Sulfolobus_solfataricus	2517	2138	2527	2158
Lactococcus_lactis_subsp._lactis	2512	2558	2309	2318
Xanthomonas_axonopodis_pv._citri	2417	2399	2509	2496
Borrelia_burgdorferi	2143	2143	2083	2070
Staphylococcus_aureus_subsp._aureus_MW2	NA	3523	NA	3523
Bordetella_bronchiseptica	2333	2282	2327	2273
Mycobacterium_tuberculosis_CDC1551	2250	2339	2336	2227
Buchnera_aphidicola_Schizaphis_graminum	NA	3519	NA	3519
Haemophilus_ducreyi	2837	2576	2566	2834
Mycobacterium_tuberculosis_H37Rv	2419	2385	2264	2282
Clostridium_tetani	2156	2207	2170	2213
Pyrococcus_furiosus	2507	2506	2686	2686
Acidobacterium_capsulatum_ATCC_51196	2701	2690	2673	2702
Xanthomonas_campestris_pv._campestris	2338	2434	2344	2441
Streptococcus_pneumoniae_R6	2644	2644	2349	2369
Wolinella_succinogenes	2702	2874	2663	2841
Streptococcus_pyogenes_MGAS315	2682	2481	2717	2492
Methanosarcina_acetivorans	2259	2240	2556	2564
Streptococcus_pyogenes	2652	2650	2622	2608
Aquifex_aeolicus	2691	2721	2745	2687
Clostridium_acetobutylicum	2297	2311	2427	2421
Desulfovibrio_vulgaris_subsp._vulgaris_str._Hildenborough	NA	3945	NA	3945
Streptococcus_pneumoniae	2425	2434	2604	2567
Methanococcus_maripaludis	2315	2358	2389	2367
Cyanidioschyzon_merolae	2877	2908	2468	2468
Clostridium_perfringens	2154	2233	2128	2204
Streptococcus_pyogenes_MGAS8232	2802	2630	2616	2828
Ralstonia_solanacearum	2292	2426	2413	2297
Ureaplasma_parvum	2056	2038	2038	2038
Mycoplasma_gallisepticum	2283	2283	2065	2065
Methanocaldococcus_jannaschii	2375	2358	2390	2353
Helicobacter_pylori	2516	2553	2465	2465
Buchnera_aphidicola_Acyrthosiphon_pisum	3194	NA	3194	NA
Mycoplasma_mycoides_subsp._mycoides_SC	1856	1834	1366	1378
Salmonella_enterica_subsp._enterica_serovar_Typhi_Ty2	NA	4227	NA	4227
Escherichia_coli_O157_H7_EDL933	2727	2738	2373	2343
Bordetella_pertussis	2298	2295	2007	2032
Streptococcus_pyogenes_SSI-1	2691	2693	2559	2564
Aeropyrum_pernix	2778	2772	2822	2845
Wolbachia_sp._wMel	2579	2510	2109	2139
Pyrococcus_abyssi	2647	2754	2720	2672
Shewanella_oneidensis	2532	2523	2316	2327
Mycobacterium_bovis	2386	2446	2484	2377
