strain	ancestor consensus	evolved consensus	ancestor strain	evolved strain
Campylobacter_jejuni	19970	18248	18248	19970
Shigella_flexneri_2a_str._2457T	11477	11477	21299	21299
Porphyromonas_gingivalis	24116	14043	24116	14043
Corynebacterium_diphtheriae	18304	18304	22476	22476
Mycobacterium_leprae	19752	15073	19752	15073
Chlorobaculum_tepidum	26388	20764	20764	26388
Enterococcus_faecalis	24022	19339	24022	19339
Tropheryma_whipplei_str._Twist	13294	20566	20566	13294
Escherichia_coli_O157_H7	18971	25526	18971	25526
Thermoplasma_acidophilum	27636	29131	29131	27636
Fibrobacter_succinogenes_subsp._succinogenes_S85	25728	NA	25728	NA
Sulfolobus_tokodaii	17226	17226	12423	12423
Chromobacterium_violaceum	17282	19592	19592	17282
Neisseria_meningitidis_serogroup_A	23184	9395	9395	23184
Neisseria_meningitidis_serogroup_B	35188	35188	8615	8615
Mycoplasma_pneumoniae	24974	24974	12808	12808
Bifidobacterium_longum	21374	18708	21374	18708
Synechocystis_sp._PCC_6803	17251	17251	20019	20019
Pyrococcus_horikoshii	24853	24853	30030	30030
Bordetella_parapertussis	18003	15441	15441	18003
Photorhabdus_luminescens_subsp._laumondii	12179	NA	12179	NA
Thermotoga_maritima	18052	18052	21593	21593
Streptococcus_agalactiae_serogroup_V	18897	23178	18897	23178
Lactobacillus_plantarum	18710	18710	25800	25800
Listeria_monocytogenes	24294	20106	20106	24294
Methanosarcina_mazei	12993	21281	21281	12993
Oceanobacillus_iheyensis	21111	21111	23811	23811
Chlamydophila_caviae	18687	18687	19646	19646
Solibacter_usitatus_Ellin6076	22446	17432	17432	22446
Caenorhabditis_briggsae	7472	7472	11612	11612
Prochlorococcus_marinus_str._MIT_9313	21008	22096	22096	21008
Mycoplasma_mobile_163K	14440	15080	14440	15080
Tropheryma_whipplei_TW0827	11389	17934	11389	17934
Chlamydia_trachomatis	24596	17771	17771	24596
Methanopyrus_kandleri	23760	23760	22336	22336
Pseudomonas_syringae_pv._tomato	16540	22828	16540	22828
Shigella_flexneri	25425	11897	11897	25425
Rhodopseudomonas_palustris	19809	19809	21108	21108
Gloeobacter_violaceus	18454	20336	20336	18454
Methanothermobacter_thermautotrophicus_str._Delta_H	NA	24377	NA	24377
Rickettsia_conorii	19271	19271	21607	21607
Leishmania_major	10928	21972	21972	10928
Thermoplasma_volcanium	22611	21071	21071	22611
Pseudomonas_aeruginosa	17451	20625	20625	17451
Helicobacter_hepaticus	24596	24596	21563	21563
Streptococcus_agalactiae_serogroup_III	19983	19983	16391	16391
Mycoplasma_genitalium	15847	21308	21308	15847
Haemophilus_influenzae	13129	14269	13129	14269
Pasteurella_multocida	20886	24901	20886	24901
Prochlorococcus_marinus	30485	21387	21387	30485
Corynebacterium_glutamicum	24661	24661	19771	19771
Archaeoglobus_fulgidus	24764	20974	24764	20974
Staphylococcus_aureus_subsp._aureus_N315	NA	15944	NA	15944
Corynebacterium_efficiens	22820	17371	17371	22820
Geobacter_sulfurreducens	20934	24638	24638	20934
Yersinia_pestis_KIM	26812	14905	14905	26812
Bacillus_cereus_ATCC_10987	14103	13042	13042	14103
Pseudomonas_putida_KT2440	18557	23227	18557	23227
Sinorhizobium_meliloti	19971	19971	15009	15009
Lactobacillus_johnsonii	21003	15710	15710	21003
Chlamydophila_pneumoniae_CWL029	20518	22320	22320	20518
Streptomyces_coelicolor	16542	14909	16542	14909
Helicobacter_pylori	19000	13707	19000	13707
Dehalococcoides_ethenogenes_195	22447	23301	22447	23301
Rickettsia_prowazekii	17730	15708	15708	17730
Wigglesworthia_glossinidia_endosymbiont_of_Glossina_brevipalpis	11961	NA	11961	NA
Synechococcus_sp._WH_8102	27533	23491	23491	27533
Nitrosomonas_europaea	23887	23887	12526	12526
Mycoplasma_penetrans	13770	9963	13770	9963
Bacillus_anthracis_str._Ames	22363	22363	18800	18800
Chlamydophila_pneumoniae_AR39	14230	14230	14065	14065
Escherichia_coli	20012	22181	20012	22181
Xylella_fastidiosa_Temecula1	17164	17164	25474	25474
Treponema_denticola	20443	20443	18665	18665
Helicobacter_pylori_J99	19917	15731	15731	19917
Bacillus_cereus_ATCC_14579	17846	18733	18733	17846
