strain	ancestor consensus	evolved consensus	ancestor strain	evolved strain
Streptococcus_pneumoniae	82.407	85.248	78.702	81.311
Onion_yellows_phytoplasma	81.525	63.139	67.016	76.321
Cyanidioschyzon_merolae	76.339	84.466	80.201	80.756
Clostridium_perfringens	82.357	78.194	76.392	83.574
Streptococcus_pyogenes_MGAS8232	76.776	81.088	80.306	83.226
Ralstonia_solanacearum	78.582	82.948	84.18	79.323
Ureaplasma_parvum	78.018	82.805	73.571	80.423
Mycoplasma_gallisepticum	78.325	80.088	82.684	74.628
Methanocaldococcus_jannaschii	83.329	82.541	78.6	78.303
Staphylococcus_epidermidis	81.992	77.095	78.017	82.737
Buchnera_aphidicola_Acyrthosiphon_pisum	89.397	NA	89.397	NA
Mycoplasma_mycoides_subsp._mycoides_SC	59.76	72.867	77.725	65.508
Salmonella_enterica_subsp._enterica_serovar_Typhi_Ty2	NA	90.25	NA	90.25
Escherichia_coli_O157_H7_EDL933	78.439	80.98	84.16	74.949
Bordetella_pertussis	72.908	76.341	80.96	77.519
Streptococcus_pyogenes_SSI-1	78.105	80.914	85.079	81.84
Aeropyrum_pernix	85.746	81.909	81.034	85.135
Wolbachia_sp._wMel	72.428	79.595	77.305	83.766
Pyrococcus_abyssi	81.036	85.352	81.482	85.258
Shewanella_oneidensis	80.092	76.768	80.723	83.989
Mycobacterium_bovis	83.143	79.762	79.156	83.828
Streptococcus_mutans	78.521	79.913	84.272	82.425
Vibrio_cholerae	84.508	80.389	80.705	83.643
Coxiella_burnetii	82.572	78.798	78.548	75.355
Chlamydophila_pneumoniae_TW-183	84.459	80.253	84.646	80.829
Candidatus_Blochmannia_floridanus	83.703	76.302	77.201	82.935
Pyrobaculum_aerophilum	84.527	82.217	85.583	81.857
Prochlorococcus_marinus_subsp._pastoris_str._CCMP1986	89.625	NA	89.625	NA
Listeria_monocytogenes_str._4b_F2365	79.663	84.077	79.484	83.484
Listeria_innocua	84.976	82.648	78.601	80.539
Mycoplasma_pulmonis	77.452	80.022	74.137	82.603
Nanoarchaeum_equitans	84.438	84.901	79.721	79.5
Treponema_pallidum	79.086	81.815	84.295	81.017
Streptomyces_avermitilis	77.75	82.966	76.842	82.063
Staphylococcus_aureus_subsp._aureus_Mu50	88.868	NA	88.868	NA
Xylella_fastidiosa	76.012	79.685	80.693	84.024
Buchnera_aphidicola_Baizongia_pistaciae	90.169	NA	90.169	NA
Thermoanaerobacter_tengcongensis	83.718	79.02	79.956	74.903
Bradyrhizobium_japonicum	84.202	79.514	83.624	79.363
Corynebacterium_glutamicum_ATCC_13032	84.479	79.421	80.978	82.726
Caulobacter_vibrioides	83.235	78.547	83.187	78.73
Methanococcus_maripaludis	79.268	83.936	79.364	83.645
Mesorhizobium_loti	80.067	84.026	84.402	79.998
Fusobacterium_nucleatum_subsp._nucleatum	NA	88.705	NA	88.705
Bdellovibrio_bacteriovorus	81.471	81.997	84.849	85.316
Yersinia_pestis	81.368	78.187	81.492	84.654
Chlamydia_muridarum	80.849	84.633	81.424	85.369
Salmonella_typhi	80.637	85.091	81.608	84.147
Bacillus_halodurans	78.334	84.57	81.819	80.816
Bacteroides_thetaiotaomicron	80.072	81.047	84.684	83.758
Synechococcus_elongatus	80.904	84.504	81.07	84.208
Thermus_thermophilus_HB27	83.995	79.135	84.674	79.243

