strain	ancestor consensus	evolved consensus	ancestor strain	evolved strain
Campylobacter_jejuni	92.044	93.372	91.713	92.74
Shigella_flexneri_2a_str._2457T	88.225	95.276	95.077	87.819
Porphyromonas_gingivalis	95.046	91.111	95.443	90.431
Corynebacterium_diphtheriae	93.449	95.846	93.095	95.482
Mycobacterium_leprae	94.392	92.233	92.591	94.681
Chlorobaculum_tepidum	95.277	95.714	94.229	94.439
Enterococcus_faecalis	94.948	93.693	93.296	95.244
Tropheryma_whipplei_str._Twist	90.49	95.234	95.06	90.85
Prochlorococcus_marinus_subsp._pastoris_str._CCMP1986	96.029	NA	96.029	NA
Thermoplasma_acidophilum	95.285	95.475	95.244	95.912
Fibrobacter_succinogenes_subsp._succinogenes_S85	97.342	NA	97.342	NA
Sulfolobus_tokodaii	92.949	94.585	92.238	95.155
Chromobacterium_violaceum	92.974	92.501	94.802	94.231
Neisseria_meningitidis_serogroup_A	89.551	94.824	89.275	95.095
Neisseria_meningitidis_serogroup_B	86.958	95.365	95.613	87.426
Mycoplasma_pneumoniae	95.638	95.276	92.793	93.325
Bifidobacterium_longum	94.831	92.351	95.26	92.058
Synechocystis_sp._PCC_6803	93.409	95.529	95.233	93.009
Pyrococcus_horikoshii	95.157	94.832	94.675	95.361
Bordetella_parapertussis	92.483	93.76	92.981	94.219
Photorhabdus_luminescens_subsp._laumondii	NA	96.701	NA	96.701
Thermotoga_maritima	94.942	94.612	94.868	94.401
Streptococcus_agalactiae_serogroup_V	91.81	94.725	95.189	91.475
Lactobacillus_plantarum	93.041	95.348	93.566	94.817
Listeria_monocytogenes	93.922	94.771	95.156	93.578
Methanosarcina_mazei	91.636	91.22	94.66	95.171
Oceanobacillus_iheyensis	94.789	93.441	94.501	92.962
Chlamydophila_caviae	95.081	95.306	95.214	94.658
Solibacter_usitatus_Ellin6076	95.216	93.131	94.737	92.759
Shigella_flexneri	95.494	87.069	95.034	87.471
Prochlorococcus_marinus_str._MIT_9313	93.988	95.609	94.276	95.43
Mycoplasma_mobile_163K	92.183	90.43	91.168	91.408
Tropheryma_whipplei_TW0827	91.744	92.129	95.803	95.557
Chlamydia_trachomatis	95.221	93.76	94.155	94.64
Methanopyrus_kandleri	94.031	94.064	94.445	94.695
Pseudomonas_syringae_pv._tomato	94.978	90.656	91.04	94.516
Caenorhabditis_briggsae	85.364	90.686	91.05	85.922
Rhodopseudomonas_palustris	94.252	94.424	94.841	93.731
Gloeobacter_violaceus	94.316	94.426	94.846	93.878
Methanothermobacter_thermautotrophicus_str._Delta_H	NA	97.022	NA	97.022
Rickettsia_conorii	95.042	94.836	94.247	94.507
Leishmania_major	87.151	94.699	94.412	87.331
Thermoplasma_volcanium	95.489	95.163	96.089	95.792
Pseudomonas_aeruginosa	89.778	94.697	94.309	89.343
Helicobacter_hepaticus	94.632	94.372	93.936	94.326
Streptococcus_agalactiae_serogroup_III	94.795	94.458	87.105	86.582
Mycoplasma_genitalium	93.963	94.172	93.686	92.849
Haemophilus_influenzae	93.603	92.139	91.712	93.976
Pasteurella_multocida	94.015	93.039	93.361	94.765
Prochlorococcus_marinus	95.244	94.257	95.757	93.698
Corynebacterium_glutamicum	92.122	94.827	95.138	92.356
Archaeoglobus_fulgidus	95.407	94.692	94.785	95.73
Bacillus_subtilis	94.142	93.812	95.635	95.346
Staphylococcus_aureus_subsp._aureus_N315	95.201	NA	95.201	NA
Corynebacterium_efficiens	94.921	91.247	94.563	91.529
Geobacter_sulfurreducens	94.038	93.524	94.902	94.402
Yersinia_pestis_KIM	90.867	90.439	95.348	94.951
Bacillus_cereus_ATCC_10987	93.784	92.759	92.191	94.217
Pseudomonas_putida_KT2440	92.48	92.932	95.118	94.566
Sinorhizobium_meliloti	94.675	92.67	94.357	92.216
Lactobacillus_johnsonii	92.217	94.377	93.536	92.404
Chlamydophila_pneumoniae_CWL029	94.584	94.261	94.424	94.386
Streptomyces_coelicolor	93.328	92.083	92.696	91.475
Helicobacter_pylori	94.479	91.725	94.178	92.052
Buchnera_aphidicola_Schizaphis_graminum	NA	95.844	NA	95.844
Rickettsia_prowazekii	92.917	93.436	93.382	92.863
Wigglesworthia_glossinidia_endosymbiont_of_Glossina_brevipalpis	NA	94.777	NA	94.777
Synechococcus_sp._WH_8102	95.53	94.144	94.452	94.971
Nitrosomonas_europaea	95.289	95.757	90.638	91.143
Mycoplasma_penetrans	92.784	89.494	89.901	92.308
Bacillus_anthracis_str._Ames	94.53	93.049	95.05	93.622
Chlamydophila_pneumoniae_AR39	93.722	94.915	94.101	94.676
Escherichia_coli	93.466	95.147	93.124	94.715
Xylella_fastidiosa_Temecula1	90.323	95.491	95.765	90.057
Treponema_denticola	93.358	95.074	93.837	94.739
Helicobacter_pylori_J99	89.51	94.787	89.999	95.119
Bacillus_cereus_ATCC_14579	93.381	94.015	94.488	92.921
Mycobacterium_avium_subsp._paratuberculosis	NA	96.157	NA	96.157
Sulfolobus_solfataricus	95.215	87.047	94.799	87.361
Lactococcus_lactis_subsp._lactis	90.765	94.674	94.155	91.146
Xanthomonas_axonopodis_pv._citri	94.643	94.139	95.019	93.571
Borrelia_burgdorferi	92.48	91.757	91.408	91.837
Staphylococcus_aureus_subsp._aureus_MW2	96.043	NA	96.043	NA
Bordetella_bronchiseptica	93.521	90.994	91.484	94.17
Mycobacterium_tuberculosis_CDC1551	92.428	93.698	92.804	94.298
Dehalococcoides_ethenogenes_195	88.565	88.281	95.131	94.845
Haemophilus_ducreyi	95.089	90.846	94.74	91.512
Mycobacterium_tuberculosis_H37Rv	92.769	93.285	94.446	93.89
Clostridium_tetani	92.369	93.031	93.6	93.986
Pyrococcus_furiosus	94.406	95.084	93.659	94.739
Acidobacterium_capsulatum_ATCC_51196	93.601	94.332	95.36	95.146
Xanthomonas_campestris_pv._campestris	93.824	92.122	94.23	92.635
Streptococcus_pneumoniae_R6	95.02	92.214	94.672	91.806
Wolinella_succinogenes	93.374	93.158	95.324	94.832
Streptococcus_pyogenes_MGAS315	95.295	92.026	95.137	92.325
Methanosarcina_acetivorans	89.917	89.624	94.787	95.16
Streptococcus_pyogenes	92.671	94.925	92.3	94.539
Aquifex_aeolicus	94.793	95.349	94.731	94.527
Clostridium_acetobutylicum	94.111	93.797	91.913	92.3
Desulfovibrio_vulgaris_subsp._vulgaris_str._Hildenborough	96.549	NA	96.549	NA
Streptococcus_pneumoniae	92.437	95.346	95.522	92.831
Methanococcus_maripaludis	93.061	94.347	94.707	93.413
Cyanidioschyzon_merolae	94.393	91.133	90.348	95.278
Clostridium_perfringens	92.148	91.608	92.804	93.318
Streptococcus_pyogenes_MGAS8232	91.419	95.028	91.925	95.158
Ralstonia_solanacearum	93.577	94.043	92.907	93.459
Ureaplasma_parvum	90.49	91.246	93.64	93.01
Mycoplasma_gallisepticum	92.874	93.62	90.434	89.749
Methanocaldococcus_jannaschii	94.284	92.717	93.179	93.782
Staphylococcus_epidermidis	92.257	93.815	91.792	93.412
Buchnera_aphidicola_Acyrthosiphon_pisum	94.983	NA	94.983	NA
Mycoplasma_mycoides_subsp._mycoides_SC	91.879	91.46	72.503	73.267
Salmonella_enterica_subsp._enterica_serovar_Typhi_Ty2	NA	97.127	NA	97.127
Escherichia_coli_O157_H7_EDL933	95.316	95.627	88.157	87.878
Bordetella_pertussis	86.951	92.675	87.371	93.174
Streptococcus_pyogenes_SSI-1	91.977	95.374	94.861	92.379
Aeropyrum_pernix	94.942	94.962	95.235	94.445
Wolbachia_sp._wMel	93.996	94.558	88.164	87.624
Pyrococcus_abyssi	94.942	95.417	95.578	95.052
Shewanella_oneidensis	90.539	95.048	95.354	90.337
