strain	ancestor consensus	evolved consensus	ancestor strain	evolved strain
Campylobacter_jejuni	6039	5859	5859	6039
Shigella_flexneri_2a_str._2457T	5207	6944	6944	5207
Porphyromonas_gingivalis	5443	6851	6851	5443
Corynebacterium_diphtheriae	6452	6452	7014	7005
Photorhabdus_luminescens_subsp._laumondii	5297	NA	5297	NA
Oceanobacillus_iheyensis	6063	5659	5669	6063
Enterococcus_faecalis	6200	5853	6246	5853
Tropheryma_whipplei_str._Twist	4912	6134	6134	4912
Prochlorococcus_marinus_subsp._pastoris_str._CCMP1986	6507	NA	6507	NA
Thermoplasma_acidophilum	6868	6868	7089	7089
Fibrobacter_succinogenes_subsp._succinogenes_S85	7261	NA	7261	NA
Sulfolobus_tokodaii	5439	4772	5466	4772
Chromobacterium_violaceum	5910	5910	5977	6027
Neisseria_meningitidis_serogroup_A	4511	6591	4511	6591
Neisseria_meningitidis_serogroup_B	4172	6606	6606	4172
Mycoplasma_pneumoniae	6390	6390	5394	5394
Bifidobacterium_longum	5940	5597	5940	5597
Synechocystis_sp._PCC_6803	6401	7027	7027	6401
Pyrococcus_horikoshii	6514	6660	6660	6514
Bordetella_parapertussis	5699	5333	5333	5699
Mycobacterium_leprae	5993	5236	5978	5236
Thermotoga_maritima	6251	6251	6122	6122
Streptococcus_agalactiae_serogroup_V	6628	6646	5973	5973
Lactobacillus_plantarum	6437	6437	7212	7212
Listeria_monocytogenes	6448	7049	7049	6370
Helicobacter_pylori	6038	5533	6038	5533
Methanosarcina_mazei	5201	6476	6468	5201
Chlorobaculum_tepidum	5929	6617	5929	6641
Chlamydophila_caviae	5909	5952	5909	5952
Solibacter_usitatus_Ellin6076	5903	6469	5903	6429
Caenorhabditis_briggsae	5034	3794	3794	5020
Prochlorococcus_marinus_str._MIT_9313	6218	6925	6218	7017
Mycoplasma_mobile_163K	4391	3949	3949	4391
Tropheryma_whipplei_TW0827	4869	4869	6646	6646
Chlamydia_trachomatis	5807	5726	5807	5726
Methanopyrus_kandleri	6458	6290	6458	6290
Pseudomonas_syringae_pv._tomato	5985	6575	5985	6575
Shigella_flexneri	4697	6764	4697	6764
Bacillus_anthracis_str._Ames	6124	6177	5955	5955
Gloeobacter_violaceus	5757	6123	6123	5757
Methanothermobacter_thermautotrophicus_str._Delta_H	NA	7635	NA	7635
Rickettsia_conorii	5442	5442	5563	5563
Leishmania_major	6641	6641	4735	4737
Thermoplasma_volcanium	5791	5756	6422	6422
Pseudomonas_aeruginosa	5340	6188	5339	6143
Helicobacter_hepaticus	6609	6612	6544	6609
Streptococcus_agalactiae_serogroup_III	5243	6175	6175	5243
Mycoplasma_genitalium	5206	5617	5617	5206
Haemophilus_influenzae	5067	4923	4923	5067
Pasteurella_multocida	6956	6316	6316	6956
Prochlorococcus_marinus	6976	6588	6597	6979
Corynebacterium_glutamicum	6399	7166	7166	6399
Archaeoglobus_fulgidus	6389	6328	5970	5970
Bacillus_subtilis	6501	6473	7124	7124
Staphylococcus_aureus_subsp._aureus_N315	5724	NA	5724	NA
Corynebacterium_efficiens	6423	5865	6441	5865
Geobacter_sulfurreducens	6246	6655	6608	6243
Yersinia_pestis_KIM	6969	5698	5698	6969
Bacillus_cereus_ATCC_10987	5218	5218	4980	4980
Pseudomonas_putida_KT2440	6623	6287	6642	6299
Sinorhizobium_meliloti	5495	5495	6012	6072
Lactobacillus_johnsonii	5263	5519	5519	5263
Chlamydophila_pneumoniae_CWL029	7196	7196	6845	6845
Streptomyces_coelicolor	4628	4641	4937	4956
Staphylococcus_epidermidis	5432	5370	5963	5963
Buchnera_aphidicola_Schizaphis_graminum	NA	6402	NA	6402
Rickettsia_prowazekii	5567	5584	5567	5584
Wigglesworthia_glossinidia_endosymbiont_of_Glossina_brevipalpis	5148	NA	5148	NA
Synechococcus_sp._WH_8102	6919	6353	6353	6919
Nitrosomonas_europaea	6891	6003	6891	6039
Mycoplasma_penetrans	4825	3923	3923	4825
Rhodopseudomonas_palustris	5763	5763	5818	5818
Chlamydophila_pneumoniae_AR39	5358	5507	5507	5358
Escherichia_coli	6220	6689	6220	6689
Xylella_fastidiosa_Temecula1	7157	7157	6330	6330
Treponema_denticola	6011	6432	6432	6011
Helicobacter_pylori_J99	6305	5125	5125	6305
Bacillus_cereus_ATCC_14579	5843	6070	6084	5839
Mycobacterium_avium_subsp._paratuberculosis	5903	NA	5903	NA
Sulfolobus_solfataricus	5976	4258	4258	5976
Lactococcus_lactis_subsp._lactis	4818	5859	5810	4909
Xanthomonas_axonopodis_pv._citri	5922	5512	5922	5496
Borrelia_burgdorferi	4579	4132	4579	4139
Staphylococcus_aureus_subsp._aureus_MW2	5715	NA	5715	NA
Bordetella_bronchiseptica	5352	5535	5332	5488
Mycobacterium_tuberculosis_CDC1551	4908	5482	5482	4908
Dehalococcoides_ethenogenes_195	6106	6366	6366	6106
Haemophilus_ducreyi	6317	5954	5954	6317
Mycobacterium_tuberculosis_H37Rv	6281	5719	6281	5719
Clostridium_tetani	4732	5079	5079	4786
Pyrococcus_furiosus	5874	6698	5874	6698
Acidobacterium_capsulatum_ATCC_51196	6503	6969	6982	6558
Xanthomonas_campestris_pv._campestris	5851	5562	5562	5854
Streptococcus_pneumoniae_R6	6589	5372	6657	5357
Wolinella_succinogenes	7132	6816	6816	7132
Streptococcus_pyogenes_MGAS315	6262	5654	5654	6262
Methanosarcina_acetivorans	5178	5177	6447	6447
Streptococcus_pyogenes	5887	5887	6147	6147
Aquifex_aeolicus	5788	5788	6310	6310
Clostridium_acetobutylicum	5318	5318	5596	5596
Desulfovibrio_vulgaris_subsp._vulgaris_str._Hildenborough	NA	6884	NA	6884
Streptococcus_pneumoniae	5274	5274	5903	5903
Methanococcus_maripaludis	5971	5971	6027	6027
Cyanidioschyzon_merolae	5032	6858	5032	6858
Clostridium_perfringens	4973	4973	5330	5283
Streptococcus_pyogenes_MGAS8232	5775	5775	6641	6641
Ralstonia_solanacearum	5686	5686	6011	6016
Ureaplasma_parvum	4390	4390	4462	4462
Mycoplasma_gallisepticum	5475	5475	4302	4302
Methanocaldococcus_jannaschii	5414	5067	5414	5067
Streptomyces_avermitilis	5096	4892	5096	4901
Buchnera_aphidicola_Acyrthosiphon_pisum	5310	NA	5310	NA
Mycoplasma_mycoides_subsp._mycoides_SC	2834	4390	4390	2834
Salmonella_enterica_subsp._enterica_serovar_Typhi_Ty2	NA	6906	NA	6906
Escherichia_coli_O157_H7_EDL933	6058	7018	7018	6016
Bordetella_pertussis	5271	5271	4289	4294
Streptococcus_pyogenes_SSI-1	6645	6645	6836	6836
Aeropyrum_pernix	6494	6494	6640	6640
Wolbachia_sp._wMel	5872	4211	4211	5872
Pyrococcus_abyssi	6788	6788	6788	6788
Shewanella_oneidensis	6636	6636	5376	5376
Mycobacterium_bovis	5697	5697	6048	6048
Streptococcus_mutans	6327	5853	6454	5952
Vibrio_cholerae	6472	6178	6472	6178
Coxiella_burnetii	5976	5913	4776	4757
Chlamydophila_pneumoniae_TW-183	6480	6380	6480	6380
Candidatus_Blochmannia_floridanus	4788	4754	4754	4788
Pyrobaculum_aerophilum	6311	7475	7475	6311
Escherichia_coli_O157_H7	6713	5601	5601	6676
