strain	ancestor consensus	evolved consensus	ancestor strain	evolved strain
Campylobacter_jejuni	2973	2983	2832	2819
Shigella_flexneri_2a_str._2457T	2963	3668	3668	2945
Porphyromonas_gingivalis	2930	3343	3332	2923
Corynebacterium_diphtheriae	3669	3762	3669	3762
Photorhabdus_luminescens_subsp._laumondii	4652	NA	4652	NA
Oceanobacillus_iheyensis	3089	3200	3087	3200
Enterococcus_faecalis	3345	3322	3172	3173
Tropheryma_whipplei_str._Twist	3430	3930	3904	3503
Escherichia_coli_O157_H7	3280	3280	3677	3677
Thermoplasma_acidophilum	3826	3833	3833	3837
Fibrobacter_succinogenes_subsp._succinogenes_S85	5384	NA	5384	NA
Sulfolobus_tokodaii	2890	3152	2884	3159
Chromobacterium_violaceum	3227	3210	3331	3325
Neisseria_meningitidis_serogroup_A	2750	3736	2745	3738
Neisseria_meningitidis_serogroup_B	3777	3808	2705	2706
Mycoplasma_pneumoniae	3688	3688	3191	3191
Bifidobacterium_longum	3249	3101	3249	3096
Synechocystis_sp._PCC_6803	3616	3662	3669	3616
Pyrococcus_horikoshii	3676	3676	3554	3534
Bordetella_parapertussis	3007	3134	3052	3142
Mycobacterium_leprae	3440	3127	3393	3109
Thermotoga_maritima	3808	3653	3671	3808
Streptococcus_agalactiae_serogroup_V	3163	3134	3397	3404
Lactobacillus_plantarum	3683	3715	3461	3502
Listeria_monocytogenes	3425	3393	3428	3373
Helicobacter_pylori	3662	3267	3662	3267
Methanosarcina_mazei	3057	3427	3439	3057
Chlorobaculum_tepidum	3547	3586	3817	3769
Chlamydophila_caviae	3328	3447	3332	3448
Solibacter_usitatus_Ellin6076	3493	3284	3306	3479
Caenorhabditis_briggsae	3027	3022	2493	2501
Prochlorococcus_marinus_str._MIT_9313	3687	3797	3797	3702
Mycoplasma_mobile_163K	2454	2598	2450	2525
Tropheryma_whipplei_TW0827	2839	3171	3171	2885
Chlamydia_trachomatis	3408	3060	3408	3057
Methanopyrus_kandleri	3443	3370	3443	3384
Pseudomonas_syringae_pv._tomato	3663	3335	3335	3652
Shigella_flexneri	2993	3599	2991	3583
Bacillus_anthracis_str._Ames	3327	3313	3304	3338
Gloeobacter_violaceus	3332	3611	3586	3316
Methanothermobacter_thermautotrophicus_str._Delta_H	NA	5726	NA	5726
Rickettsia_conorii	3192	3192	3194	3194
Leishmania_major	2927	2927	3560	3560
Thermoplasma_volcanium	3691	3625	3691	3625
Pseudomonas_aeruginosa	3087	3391	3074	3407
Helicobacter_hepaticus	3484	3485	3465	3476
Streptococcus_agalactiae_serogroup_III	3373	2892	3373	2919
Mycoplasma_genitalium	2695	2727	2747	2695
Haemophilus_influenzae	2944	2777	2962	2792
Pasteurella_multocida	3437	3511	3451	3511
Prochlorococcus_marinus	3403	3691	3677	3382
Corynebacterium_glutamicum	3565	3565	3401	3401
Archaeoglobus_fulgidus	3516	3811	3514	3811
Bacillus_subtilis	3731	3487	3490	3751
Staphylococcus_aureus_subsp._aureus_N315	4492	NA	4492	NA
Corynebacterium_efficiens	3367	3142	3372	3181
Geobacter_sulfurreducens	3522	3727	3727	3512
Yersinia_pestis_KIM	3325	3323	3831	3831
Bacillus_cereus_ATCC_10987	3015	2956	2953	3025
Pseudomonas_putida_KT2440	3442	3326	3295	3442
Sinorhizobium_meliloti	3317	3210	3266	3317
Lactobacillus_johnsonii	3186	3216	3070	3070
Chlamydophila_pneumoniae_CWL029	3338	3288	3288	3338
Streptomyces_coelicolor	2869	2770	2862	2764
Staphylococcus_epidermidis	3048	3050	3029	3095
Dehalococcoides_ethenogenes_195	3583	3398	3398	3590
Rickettsia_prowazekii	2987	3107	3072	2953
Wigglesworthia_glossinidia_endosymbiont_of_Glossina_brevipalpis	NA	3725	NA	3725
Synechococcus_sp._WH_8102	3640	3573	3554	3606
Nitrosomonas_europaea	3792	3458	3822	3475
Mycoplasma_penetrans	2740	2547	2547	2740
Rhodopseudomonas_palustris	3339	3262	3361	3260
Chlamydophila_pneumoniae_AR39	3410	3528	3528	3410
Escherichia_coli	3725	3552	3578	3725
Xylella_fastidiosa_Temecula1	3316	3748	3745	3316
Treponema_denticola	3330	3330	3482	3482
Helicobacter_pylori_J99	3300	2970	3302	2988
Bacillus_cereus_ATCC_14579	3250	3243	3427	3427
Mycobacterium_avium_subsp._paratuberculosis	4436	NA	4436	NA
Sulfolobus_solfataricus	3427	2781	2772	3427
Lactococcus_lactis_subsp._lactis	3053	3278	3278	3053
Xanthomonas_axonopodis_pv._citri	3214	3298	3291	3212
Borrelia_burgdorferi	2696	2640	2696	2640
Staphylococcus_aureus_subsp._aureus_MW2	4697	NA	4697	NA
Bordetella_bronchiseptica	2962	2955	3076	3108
Mycobacterium_tuberculosis_CDC1551	2818	2941	2809	2935
Buchnera_aphidicola_Schizaphis_graminum	NA	4794	NA	4794
Haemophilus_ducreyi	3705	3329	3328	3693
Mycobacterium_tuberculosis_H37Rv	3222	3054	3235	3069
Clostridium_tetani	2769	2842	2794	2835
Streptococcus_pyogenes_SSI-1	3616	3616	3516	3516
Acidobacterium_capsulatum_ATCC_51196	3898	3679	3663	3870
Xanthomonas_campestris_pv._campestris	3223	3077	3069	3238
Streptococcus_pneumoniae_R6	3183	3188	3606	3606
Wolinella_succinogenes	3740	3383	3431	3740
Streptococcus_pyogenes_MGAS315	3645	3386	3605	3386
Methanosarcina_acetivorans	2936	2923	3457	3472
Streptococcus_pyogenes	3325	3325	3614	3644
Aquifex_aeolicus	3589	3589	3602	3602
Clostridium_acetobutylicum	2995	2931	2918	2994
Desulfovibrio_vulgaris_subsp._vulgaris_str._Hildenborough	4749	NA	4749	NA
Streptococcus_pneumoniae	3598	3598	3281	3312
Methanococcus_maripaludis	3362	3391	3348	3370
Cyanidioschyzon_merolae	3551	2955	3551	2973
Clostridium_perfringens	2973	2970	2970	2970
Streptococcus_pyogenes_MGAS8232	3347	3550	3399	3596
Ralstonia_solanacearum	3304	3304	3096	3122
Ureaplasma_parvum	2783	2710	2493	2493
Mycoplasma_gallisepticum	3021	2695	3021	2657
Methanocaldococcus_jannaschii	3082	2923	3082	2923
Streptomyces_avermitilis	3045	2911	3042	2917
Buchnera_aphidicola_Acyrthosiphon_pisum	4063	NA	4063	NA
Mycoplasma_mycoides_subsp._mycoides_SC	2575	1795	2575	1842
Salmonella_enterica_subsp._enterica_serovar_Typhi_Ty2	5221	NA	5221	NA
Escherichia_coli_O157_H7_EDL933	3732	3285	3294	3768
Bordetella_pertussis	2527	2891	2887	2535
Pyrococcus_furiosus	3331	3520	3520	3319
Aeropyrum_pernix	3484	3616	3445	3662
Wolbachia_sp._wMel	3301	3301	2627	2617
Pyrococcus_abyssi	3583	3648	3583	3666
Shewanella_oneidensis	3712	3241	3705	3218
Mycobacterium_bovis	3131	3337	3130	3376
Streptococcus_mutans	3445	3233	3231	3445
Vibrio_cholerae	3605	3460	3477	3583
Coxiella_burnetii	3390	2890	2890	3390
Chlamydophila_pneumoniae_TW-183	3502	3394	3502	3383
Candidatus_Blochmannia_floridanus	2967	2847	2908	2847
Pyrobaculum_aerophilum	3782	4161	3782	4161
Prochlorococcus_marinus_subsp._pastoris_str._CCMP1986	4330	NA	4330	NA
Listeria_monocytogenes_str._4b_F2365	3370	3338	3303	3353
Listeria_innocua	3190	3382	3406	3203
Mycoplasma_pulmonis	2813	2813	2714	2825
Nanoarchaeum_equitans	2760	2689	2760	2689
Treponema_pallidum	3469	3469	3562	3562
Staphylococcus_aureus_subsp._aureus_Mu50	NA	4728	NA	4728
Xylella_fastidiosa	3378	3816	3816	3387
Buchnera_aphidicola_Baizongia_pistaciae	4289	NA	4289	NA
Thermoanaerobacter_tengcongensis	3348	2849	3354	2849
Bradyrhizobium_japonicum	3381	3390	3284	3258
Corynebacterium_glutamicum_ATCC_13032	3754	3624	3754	3624
Caulobacter_vibrioides	3198	3296	3227	3145
Onion_yellows_phytoplasma	1960	1960	2894	2925
Mesorhizobium_loti	3387	3414	3345	3314
Fusobacterium_nucleatum_subsp._nucleatum	NA	3986	NA	3986
Bdellovibrio_bacteriovorus	3918	3930	3930	3936
Yersinia_pestis	3248	3211	3685	3666
Chlamydia_muridarum	3762	3549	3549	3762
Salmonella_typhi	3837	3837	3602	3626
Bacillus_halodurans	3263	3604	3266	3604
Bacteroides_thetaiotaomicron	3771	3666	3665	3773
Synechococcus_elongatus	3590	3592	3592	3592
Thermus_thermophilus_HB27	2990	3009	3016	3016

