strain	ancestor consensus	evolved consensus	ancestor strain	evolved strain
Campylobacter_jejuni	4317	4372	4317	4081
Shigella_flexneri_2a_str._2457T	3346	3216	2737	3340
Porphyromonas_gingivalis	3024	3385	3385	2991
Corynebacterium_diphtheriae	3956	3606	3923	3610
Mycobacterium_leprae	3205	3645	3636	3620
Chlorobaculum_tepidum	3550	3519	3123	3199
Enterococcus_faecalis	3587	3956	3679	4012
Tropheryma_whipplei_str._Twist	3138	3150	3591	3621
Escherichia_coli_O157_H7	2985	3515	3641	3627
Thermoplasma_acidophilum	3634	3421	3845	3845
Fibrobacter_succinogenes_subsp._succinogenes_S85	3324	NA	3602	NA
Sulfolobus_tokodaii	3809	3839	3258	3873
Chromobacterium_violaceum	3885	3666	3880	3521
Neisseria_meningitidis_serogroup_A	2756	2713	3144	3004
Neisseria_meningitidis_serogroup_B	2918	2697	2550	2941
Mycoplasma_pneumoniae	3375	2670	3708	3369
Bifidobacterium_longum	3753	3581	3753	3211
Synechocystis_sp._PCC_6803	3784	3349	3796	3291
Pyrococcus_horikoshii	3575	3261	3351	3571
Bordetella_parapertussis	3934	4071	4060	3597
Photorhabdus_luminescens_subsp._laumondii	NA	3324	NA	3038
Thermotoga_maritima	3770	3229	3346	3721
Streptococcus_agalactiae_serogroup_V	3853	3574	3878	3777
Lactobacillus_plantarum	3681	3713	3713	3190
Listeria_monocytogenes	3435	3870	3955	3950
Methanosarcina_mazei	3589	3199	3240	3536
Oceanobacillus_iheyensis	3978	3613	3952	3761
Chlamydophila_caviae	3579	3756	3536	3756
Solibacter_usitatus_Ellin6076	3851	3851	3444	3567
Shigella_flexneri	3243	3247	2870	2983
Prochlorococcus_marinus_str._MIT_9313	3218	3672	3672	3476
Mycoplasma_mobile_163K	4433	4254	4435	4425
Mycoplasma_genitalium	3314	4389	4512	5008
Chlamydia_trachomatis	4338	4192	4192	3271
Methanopyrus_kandleri	3505	4261	4124	4192
Pseudomonas_syringae_pv._tomato	3687	3479	3665	3336
Caenorhabditis_briggsae	2914	2930	2766	2574
