strain	ancestor consensus	evolved consensus	ancestor strain	evolved strain
Campylobacter_jejuni	9543	9543	3688	NA
Shigella_flexneri_2a_str._2457T	6626	6692	NA	NA
Porphyromonas_gingivalis	6969	6983	NA	585
Corynebacterium_diphtheriae	8676	1696	8447	NA
Mycobacterium_leprae	688	7781	NA	7781
Oceanobacillus_iheyensis	9200	1657	9200	NA
Enterococcus_faecalis	8010	8044	963	NA
Tropheryma_whipplei_str._Twist	7407	7407	NA	NA
Escherichia_coli_O157_H7	7874	7897	NA	NA
Thermoplasma_acidophilum	10071	1100	NA	10071
Fibrobacter_succinogenes_subsp._succinogenes_S85	NA	8627	NA	8627
Sulfolobus_tokodaii	8303	8066	536	NA
Chromobacterium_violaceum	9582	2118	9526	NA
Neisseria_meningitidis_serogroup_A	5365	5453	520	NA
Neisseria_meningitidis_serogroup_B	5286	5297	NA	NA
Mycoplasma_pneumoniae	7859	7859	NA	NA
Bifidobacterium_longum	9566	9566	1237	NA
Synechocystis_sp._PCC_6803	7986	621	7999	NA
Pyrococcus_horikoshii	9121	2044	9070	NA
Bordetella_parapertussis	9408	9327	NA	589
Photorhabdus_luminescens_subsp._laumondii	6543	NA	6543	NA
Thermotoga_maritima	8275	811	8571	NA
Streptococcus_agalactiae_serogroup_V	8084	8084	NA	NA
Lactobacillus_plantarum	602	8717	8717	NA
Listeria_monocytogenes	10115	683	10115	NA
Helicobacter_pylori	8253	8253	NA	NA
Methanosarcina_mazei	7329	545	7329	NA
Chlorobaculum_tepidum	8417	8417	NA	527
Chlamydophila_caviae	3426	9198	9198	NA
Solibacter_usitatus_Ellin6076	8486	967	8494	NA
Shigella_flexneri	6076	6066	NA	NA
Prochlorococcus_marinus_str._MIT_9313	1225	8250	8250	NA
Mycoplasma_mobile_163K	12497	12497	NA	5082
Tropheryma_whipplei_TW0827	2358	7649	7649	NA
Chlamydia_trachomatis	7923	708	NA	7923
Methanopyrus_kandleri	11910	11910	3889	NA
Pseudomonas_syringae_pv._tomato	8500	8481	NA	NA
Caenorhabditis_briggsae	4603	4700	NA	NA
Bacillus_anthracis_str._Ames	1817	9769	9769	NA
Gloeobacter_violaceus	8798	1349	8798	NA
