strain	ancestor consensus	evolved consensus	ancestor strain	evolved strain
Campylobacter_jejuni	98.553	98.553	99.97	99.97
Shigella_flexneri_2a_str._2457T	93.189	93.189	99.972	99.972
Porphyromonas_gingivalis	99.988	99.988	95.936	95.936
Corynebacterium_diphtheriae	97.735	97.735	99.525	99.525
Photorhabdus_luminescens_subsp._laumondii	95.326	NA	95.326	NA
Oceanobacillus_iheyensis	99.997	99.997	98.555	98.555
Enterococcus_faecalis	99.994	98.557	99.994	98.557
Tropheryma_whipplei_str._Twist	96.728	96.728	99.15	99.15
Escherichia_coli_O157_H7	99.996	94.912	94.912	99.996
Thermoplasma_acidophilum	99.995	99.914	99.914	99.995
Fibrobacter_succinogenes_subsp._succinogenes_S85	99.516	NA	99.516	NA
Sulfolobus_tokodaii	98.558	99.951	98.558	99.951
Chromobacterium_violaceum	98.425	98.425	99.987	99.987
Neisseria_meningitidis_serogroup_A	99.999	95.867	95.867	99.999
Neisseria_meningitidis_serogroup_B	99.987	99.987	93.635	93.635
Mycoplasma_pneumoniae	99.999	97.95	97.95	99.999
Bifidobacterium_longum	99.996	98.153	99.996	98.153
Synechocystis_sp._PCC_6803	99.989	98.668	98.668	99.989
Pyrococcus_horikoshii	99.018	99.018	99.899	99.899
Bordetella_parapertussis	98.716	98.716	99.832	99.832
Mycobacterium_leprae	99.994	98.038	99.994	98.038
Thermotoga_maritima	99.997	99.525	99.525	99.997
Streptococcus_agalactiae_serogroup_V	99.998	96.986	96.986	99.998
Lactobacillus_plantarum	98.423	98.423	99.982	99.982
Listeria_monocytogenes	99.97	99.97	98.858	98.858
Helicobacter_pylori	99.906	99.906	97.773	97.773
Methanosarcina_mazei	96.665	99.98	99.98	96.665
Chlorobaculum_tepidum	99.685	99.685	99.126	99.126
Chlamydophila_caviae	99.81	99.81	99.999	99.999
Solibacter_usitatus_Ellin6076	99.99	98.495	98.495	99.99
Caenorhabditis_briggsae	96.781	96.781	92.702	92.702
Prochlorococcus_marinus_str._MIT_9313	99.137	99.986	99.986	99.137
Mycoplasma_mobile_163K	99.993	98.156	99.993	98.156
Tropheryma_whipplei_TW0827	97.208	99.996	99.996	97.208
Chlamydia_trachomatis	99.976	99.976	99.416	99.416
Methanopyrus_kandleri	99.99	99.858	99.99	99.858
Pseudomonas_syringae_pv._tomato	96.269	96.269	99.993	99.993
Shigella_flexneri	92.434	99.998	92.434	99.998
Rhodopseudomonas_palustris	99.973	99.7	99.973	99.7
Gloeobacter_violaceus	99.317	99.99	99.99	99.317
Methanothermobacter_thermautotrophicus_str._Delta_H	NA	99.991	NA	99.991
Rickettsia_conorii	99.754	99.754	99.982	99.982
Leishmania_major	93.479	99.999	99.999	93.479
Thermoplasma_volcanium	99.59	100.0	99.59	100.0
Pseudomonas_aeruginosa	96.068	99.98	96.068	99.98
Helicobacter_hepaticus	99.988	99.248	99.248	99.988
Streptococcus_agalactiae_serogroup_III	99.995	99.995	93.34	93.34
Mycoplasma_genitalium	99.994	99.994	99.717	99.717
Haemophilus_influenzae	99.713	97.556	97.556	99.713
Pasteurella_multocida	98.52	99.999	98.52	99.999
Prochlorococcus_marinus	99.004	99.985	99.004	99.985
Corynebacterium_glutamicum	97.676	99.999	99.999	97.676
Archaeoglobus_fulgidus	99.192	99.192	99.917	99.917
Bacillus_subtilis	99.999	98.732	98.732	99.999
Staphylococcus_aureus_subsp._aureus_N315	97.487	NA	97.487	NA
Corynebacterium_efficiens	99.996	96.746	96.746	99.996
Geobacter_sulfurreducens	99.047	99.981	99.981	99.047
Yersinia_pestis_KIM	96.071	99.994	96.071	99.994
Bacillus_cereus_ATCC_10987	99.801	98.523	99.801	98.523
Pseudomonas_putida_KT2440	99.993	99.993	98.016	98.016
Sinorhizobium_meliloti	98.344	98.344	99.988	99.988
Lactobacillus_johnsonii	97.64	99.978	97.64	99.978
Chlamydophila_pneumoniae_CWL029	99.634	99.988	99.988	99.634
Streptomyces_coelicolor	98.8	99.969	99.969	98.8
Streptomyces_avermitilis	99.987	99.987	98.943	98.943
Buchnera_aphidicola_Schizaphis_graminum	NA	99.972	NA	99.972
Rickettsia_prowazekii	99.801	99.973	99.801	99.973
Wigglesworthia_glossinidia_endosymbiont_of_Glossina_brevipalpis	99.271	NA	99.271	NA
Synechococcus_sp._WH_8102	99.987	98.925	99.987	98.925
Nitrosomonas_europaea	99.993	99.993	96.055	96.055
Mycoplasma_penetrans	99.999	99.999	97.592	97.592
Bacillus_anthracis_str._Ames	98.942	99.994	98.942	99.994
Chlamydophila_pneumoniae_AR39	99.491	99.855	99.491	99.855
Escherichia_coli	98.553	98.553	99.987	99.987
