strain	ancestor consensus	evolved consensus	ancestor strain	evolved strain
Campylobacter_jejuni	24692	21242	24692	21242
Shigella_flexneri_2a_str._2457T	15167	15167	28032	28032
Porphyromonas_gingivalis	29435	29435	16403	16403
Corynebacterium_diphtheriae	30740	40554	30740	40554
Photorhabdus_luminescens_subsp._laumondii	NA	20973	NA	20973
Oceanobacillus_iheyensis	27858	32158	32158	27858
not	NA	942	NA	942
Enterococcus_faecalis	21765	30642	30642	21765
Tropheryma_whipplei_str._Twist	16878	26227	26227	16878
Prochlorococcus_marinus_subsp._pastoris_str._CCMP1986	30528	NA	30528	NA
Thermoplasma_acidophilum	38287	38287	35595	35595
Fibrobacter_succinogenes_subsp._succinogenes_S85	32147	NA	32147	NA
Sulfolobus_tokodaii	24614	14982	14982	24614
Chromobacterium_violaceum	23785	23785	28380	28380
Neisseria_meningitidis_serogroup_A	28969	28969	9999	9999
Neisseria_meningitidis_serogroup_B	35545	35545	9223	9223
Mycoplasma_pneumoniae	39626	18090	18090	39626
Bifidobacterium_longum	31049	23865	23865	31049
Synechocystis_sp._PCC_6803	24899	31090	24899	31090
Pyrococcus_horikoshii	32721	32721	27591	27591
Bordetella_parapertussis	19672	19672	24189	24189
Mycobacterium_leprae	28875	20216	28875	20216
Thermotoga_maritima	38998	27216	38998	27216
Streptococcus_agalactiae_serogroup_V	28371	34379	28371	34379
Lactobacillus_plantarum	28063	39508	39508	28063
Listeria_monocytogenes	27088	24067	24067	27088
Helicobacter_pylori	31541	19144	19144	31541
Methanosarcina_mazei	16314	31415	31415	16314
Chlorobaculum_tepidum	26318	31560	26318	31560
Chlamydophila_caviae	28053	28053	27377	27377
Solibacter_usitatus_Ellin6076	28604	22903	28604	22903
Caenorhabditis_briggsae	14645	14645	9242	9242
Prochlorococcus_marinus_str._MIT_9313	25016	34394	34394	25016
Mycoplasma_mobile_163K	21011	16359	16359	21011
Mycoplasma_genitalium	25265	25265	22195	22195
Chlamydia_trachomatis	34345	38849	38849	34345
Methanopyrus_kandleri	27708	24449	27708	24449
Pseudomonas_syringae_pv._tomato	21323	30493	21323	30493
Shigella_flexneri	33820	33820	15241	15241
Bacillus_anthracis_str._Ames	27107	21858	27107	21858
Gloeobacter_violaceus	21703	28902	28902	21703
Methanothermobacter_thermautotrophicus_str._Delta_H	NA	43965	NA	43965
Rickettsia_conorii	25548	28036	25548	28036
Leishmania_major	35505	35505	14041	14041
Thermoplasma_volcanium	29220	21137	21137	29220
Pseudomonas_aeruginosa	23833	23833	29130	29130
Helicobacter_hepaticus	31958	23881	23881	31958
Streptococcus_agalactiae_serogroup_III	18123	23026	23026	18123
Tropheryma_whipplei_TW0827	21408	21408	32417	32417
Haemophilus_influenzae	18892	15002	15002	18892
Pasteurella_multocida	31114	29365	29365	31114
Prochlorococcus_marinus	36477	24361	24361	36477
Corynebacterium_glutamicum	26582	26582	30993	30993
