Acidobacterium_capsulatum_ATCC_51196_ancestor quast_consensus	['11893']
Acidobacterium_capsulatum_ATCC_51196_0925 quast_consensus	['13164']
Acidobacterium_capsulatum_ATCC_51196_0925 quast_strain	['13164']
Acidobacterium_capsulatum_ATCC_51196_ancestor quast_strain	['11831']
Aeropyrum_pernix_ancestor quast_consensus	['11790']
Aeropyrum_pernix_0925 quast_consensus	['13462']
Aeropyrum_pernix_0925 quast_strain	['13462']
Aeropyrum_pernix_ancestor quast_strain	['11790']
Aquifex_aeolicus_ancestor quast_consensus	['12919']
Aquifex_aeolicus_0925 quast_consensus	['12953']
Aquifex_aeolicus_0925 quast_strain	['12953']
Aquifex_aeolicus_ancestor quast_strain	['12919']
Archaeoglobus_fulgidus_0925 quast_consensus	['13330']
Archaeoglobus_fulgidus_ancestor quast_consensus	['11160']
Archaeoglobus_fulgidus_ancestor quast_strain	['11160']
Archaeoglobus_fulgidus_0925 quast_strain	['13330']
Bacillus_anthracis_str._Ames_0925 quast_consensus	['11521']
Bacillus_anthracis_str._Ames_ancestor quast_consensus	['11000']
Bacillus_anthracis_str._Ames_ancestor quast_strain	['10729']
Bacillus_anthracis_str._Ames_0925 quast_strain	['11521']
Bacillus_cereus_ATCC_10987_ancestor quast_consensus	['8051']
Bacillus_cereus_ATCC_10987_0925 quast_consensus	['8219']
Bacillus_cereus_ATCC_10987_ancestor quast_strain	['8051']
Bacillus_cereus_ATCC_10987_0925 quast_strain	['8219']
Bacillus_cereus_ATCC_14579_ancestor quast_consensus	['9992']
Bacillus_cereus_ATCC_14579_0925 quast_consensus	['10528']
Bacillus_cereus_ATCC_14579_0925 quast_strain	['10528']
Bacillus_cereus_ATCC_14579_ancestor quast_strain	['9992']
Bacillus_halodurans_ancestor quast_consensus	['10466']
Bacillus_halodurans_0925 quast_consensus	['12707']
Bacillus_halodurans_ancestor quast_strain	['10466']
Bacillus_halodurans_0925 quast_strain	['12707']
Bacillus_subtilis_ancestor quast_consensus	['13045']
Bacillus_subtilis_0925 quast_consensus	['14889']
Bacillus_subtilis_0925 quast_strain	['14889']
Bacillus_subtilis_ancestor quast_strain	['13045']
Bacteroides_thetaiotaomicron_ancestor quast_consensus	['11792']
Bacteroides_thetaiotaomicron_0925 quast_consensus	['13049']
Bacteroides_thetaiotaomicron_ancestor quast_strain	['11792']
