strain	ancestor consensus	evolved consensus	ancestor strain	evolved strain
Escherichia_coli_O157_H7_EDL933	23420	23420	18218	18218
Bordetella_pertussis	15674	16060	9862	9862
Streptococcus_pyogenes_SSI-1	24427	20724	24427	20724
Aeropyrum_pernix	21192	21192	25913	25913
Wolbachia_sp._wMel	22250	10127	10127	22250
Pyrococcus_abyssi	22582	22582	25561	25561
Shewanella_oneidensis	23410	14651	14651	23410
Mycobacterium_bovis	17545	17545	21530	21530
Streptococcus_mutans	17458	19203	17458	19203
Vibrio_cholerae	23936	20789	20789	23936
Coxiella_burnetii	29540	14052	29540	14052
Chlamydophila_pneumoniae_TW-183	26486	21848	26486	21848
Candidatus_Blochmannia_floridanus	18681	19180	19180	18681
Pyrobaculum_aerophilum	18143	18143	24099	24099
Prochlorococcus_marinus_subsp._pastoris_str._CCMP1986	21772	NA	21772	NA
Listeria_monocytogenes_str._4b_F2365	19958	20526	20526	19958
Listeria_innocua	18858	18858	18081	18081
Mycoplasma_pulmonis	13310	12242	13310	12242
Nanoarchaeum_equitans	20243	20243	19924	19924
Treponema_pallidum	21431	25820	21431	25820
Streptomyces_avermitilis	15192	15192	16719	16719
Staphylococcus_aureus_subsp._aureus_Mu50	17215	NA	17215	NA
Xylella_fastidiosa	19003	27603	19003	27603
Buchnera_aphidicola_Baizongia_pistaciae	17367	NA	17367	NA
Thermoanaerobacter_tengcongensis	21884	15275	15275	21884
Bradyrhizobium_japonicum	22268	22268	19260	19260
Corynebacterium_glutamicum_ATCC_13032	23514	20526	20526	23514
Caulobacter_vibrioides	17327	15658	15658	17327
Onion_yellows_phytoplasma	10707	16085	10707	16085
Mesorhizobium_loti	22313	22313	19693	19693
Fusobacterium_nucleatum_subsp._nucleatum	NA	14336	NA	14336
Bdellovibrio_bacteriovorus	25480	26397	26397	25480
Yersinia_pestis	26458	26458	16837	16837
Chlamydia_muridarum	20710	21369	21369	20710
Salmonella_typhi	23074	19171	23074	19171
Bacillus_halodurans	17069	17069	23971	23971
Bacteroides_thetaiotaomicron	23644	20908	23644	20908
Synechococcus_elongatus	24645	22390	22390	24645
Thermus_thermophilus_HB27	16426	16426	15193	15193

