strain	ancestor consensus	evolved consensus	ancestor strain	evolved strain
Campylobacter_jejuni	98.571	99.993	98.571	99.993
Shigella_flexneri_2a_str._2457T	93.148	99.967	99.967	93.148
Porphyromonas_gingivalis	99.98	99.98	95.877	95.877
Corynebacterium_diphtheriae	99.994	97.704	99.994	97.704
Photorhabdus_luminescens_subsp._laumondii	95.369	NA	95.369	NA
Chlorobaculum_tepidum	99.983	99.105	99.983	99.105
Enterococcus_faecalis	99.993	99.993	98.72	98.72
Tropheryma_whipplei_str._Twist	100.0	96.683	100.0	96.683
Bordetella_parapertussis	99.987	99.987	98.711	98.711
Thermoplasma_acidophilum	99.914	99.995	99.995	99.914
Fibrobacter_succinogenes_subsp._succinogenes_S85	99.473	NA	99.473	NA
Sulfolobus_tokodaii	98.627	99.967	98.627	99.967
Chromobacterium_violaceum	98.406	99.986	98.406	99.986
Neisseria_meningitidis_serogroup_A	95.864	99.995	95.864	99.995
Neisseria_meningitidis_serogroup_B	93.624	99.994	99.994	93.624
Mycoplasma_pneumoniae	99.995	97.971	99.995	97.971
Bifidobacterium_longum	99.977	98.154	99.977	98.154
Synechocystis_sp._PCC_6803	99.969	99.969	98.658	98.658
Pyrococcus_horikoshii	99.901	99.984	99.984	99.901
Mycobacterium_leprae	99.993	98.068	98.068	99.993
Thermotoga_maritima	99.992	99.558	99.558	99.992
Streptococcus_agalactiae_serogroup_V	99.983	97.016	97.016	99.983
Lactobacillus_plantarum	98.432	98.432	99.975	99.975
Listeria_monocytogenes	98.899	98.899	99.981	99.981
Helicobacter_pylori	97.732	97.732	99.936	99.936
Methanosarcina_mazei	99.953	99.953	96.695	96.695
Oceanobacillus_iheyensis	98.004	99.986	99.986	98.004
Chlamydophila_caviae	99.83	99.98	99.83	99.98
Solibacter_usitatus_Ellin6076	99.988	99.988	98.385	98.385
Shigella_flexneri	92.412	92.412	99.947	99.947
Prochlorococcus_marinus_str._MIT_9313	99.115	99.982	99.982	99.115
Mycoplasma_mobile_163K	99.92	98.045	98.045	99.92
