Name	Consensus ancestor	Consensus evolved	Strain ancestor	Strain evolved
Acidobacterium_capsulatum_ATCC_51196_00	39800.0	46368.0	39800.0	46368.0
Acidobacterium_capsulatum_ATCC_51196_05	43805.0	49547.0	43805.0	49547.0
Acidobacterium_capsulatum_ATCC_51196_10	28898.0	34029.0	28898.0	34029.0
Acidobacterium_capsulatum_ATCC_51196_15	20315.0	24554.0	20315.0	24554.0
Acidobacterium_capsulatum_ATCC_51196_20	15021.0	16757.0	15021.0	16757.0
Acidobacterium_capsulatum_ATCC_51196_25	11893.0	13164.0	11831.0	13164.0
Acidobacterium_capsulatum_ATCC_51196_30	8258.0	9028.0	8258.0	9023.0
Acidobacterium_capsulatum_ATCC_51196_35	6558.0	6982.0	6503.0	6969.0
Acidobacterium_capsulatum_ATCC_51196_40	4680.0	5005.0	4630.0	5005.0
Acidobacterium_capsulatum_ATCC_51196_45	3679.0	3898.0	3663.0	3870.0
Acidobacterium_capsulatum_ATCC_51196_50	2690.0	2702.0	2673.0	2701.0
Acidobacterium_capsulatum_ATCC_51196_55	2046.0	2089.0	2014.0	2080.0
Acidobacterium_capsulatum_ATCC_51196_60	1533.0	1558.0	1527.0	1547.0
Acidobacterium_capsulatum_ATCC_51196_65	1180.0	1180.0	1167.0	1161.0
Acidobacterium_capsulatum_ATCC_51196_70	955.0	964.0	921.0	925.0
Acidobacterium_capsulatum_ATCC_51196_75	879.0	871.0	786.0	781.0
Acidobacterium_capsulatum_ATCC_51196_80	949.0	953.0	703.0	696.0
Acidobacterium_capsulatum_ATCC_51196_85	1615.0	1645.0	668.0	634.0
Acidobacterium_capsulatum_ATCC_51196_90	3661.0	3631.0	778.0	NA
Acidobacterium_capsulatum_ATCC_51196_95	9994.0	9994.0	1851.0	NA
Aeropyrum_pernix_00	41053.0	47410.0	41053.0	47410.0
Aeropyrum_pernix_05	47410.0	61977.0	47410.0	61977.0
Aeropyrum_pernix_10	30089.0	37378.0	30089.0	37378.0
Aeropyrum_pernix_15	21192.0	25913.0	21192.0	25913.0
Aeropyrum_pernix_20	22580.0	23832.0	22580.0	23832.0
Aeropyrum_pernix_25	11790.0	13462.0	11790.0	13462.0
Aeropyrum_pernix_30	8628.0	8876.0	8628.0	8876.0
Aeropyrum_pernix_35	6494.0	6640.0	6494.0	6640.0
Aeropyrum_pernix_40	4709.0	5251.0	4705.0	5251.0
Aeropyrum_pernix_45	3484.0	3662.0	3445.0	3616.0
Aeropyrum_pernix_50	2778.0	2845.0	2772.0	2822.0
Aeropyrum_pernix_55	1992.0	2009.0	1978.0	2001.0
Aeropyrum_pernix_60	1518.0	1541.0	1502.0	1523.0
Aeropyrum_pernix_65	1191.0	1186.0	1177.0	1175.0
Aeropyrum_pernix_70	951.0	954.0	913.0	927.0
Aeropyrum_pernix_75	872.0	872.0	787.0	777.0
Aeropyrum_pernix_80	999.0	981.0	725.0	681.0
Aeropyrum_pernix_85	1760.0	1715.0	676.0	633.0
Aeropyrum_pernix_90	4245.0	4245.0	567.0	667.0
Aeropyrum_pernix_95	11036.0	11036.0	NA	4949.0
Aquifex_aeolicus_00	39674.0	59538.0	39674.0	59538.0
Aquifex_aeolicus_05	36201.0	52225.0	36201.0	52225.0
Aquifex_aeolicus_10	26129.0	27411.0	26129.0	27411.0
Aquifex_aeolicus_15	21271.0	23109.0	21271.0	23109.0
Aquifex_aeolicus_20	16647.0	16568.0	16647.0	16568.0
Aquifex_aeolicus_25	12919.0	12953.0	12919.0	12953.0
Aquifex_aeolicus_30	8924.0	9284.0	8924.0	9284.0
Aquifex_aeolicus_35	5788.0	6310.0	5788.0	6310.0
Aquifex_aeolicus_40	4797.0	4850.0	4797.0	4850.0
Aquifex_aeolicus_45	3602.0	3589.0	3602.0	3589.0
Aquifex_aeolicus_50	2691.0	2745.0	2687.0	2721.0
Aquifex_aeolicus_55	1940.0	1966.0	1927.0	1927.0
Aquifex_aeolicus_60	1508.0	1528.0	1496.0	1511.0
Aquifex_aeolicus_65	1125.0	1155.0	1111.0	1139.0
Aquifex_aeolicus_70	946.0	966.0	901.0	929.0
Aquifex_aeolicus_75	848.0	847.0	748.0	765.0
Aquifex_aeolicus_80	941.0	917.0	734.0	682.0
Aquifex_aeolicus_85	1681.0	1597.0	698.0	623.0
Aquifex_aeolicus_90	4003.0	3954.0	809.0	NA
Aquifex_aeolicus_95	9323.0	9323.0	NA	572.0
Archaeoglobus_fulgidus_00	37585.0	61726.0	37585.0	61726.0
Archaeoglobus_fulgidus_05	32392.0	49819.0	32392.0	49819.0
Archaeoglobus_fulgidus_10	21144.0	33475.0	21144.0	33475.0
Archaeoglobus_fulgidus_15	20974.0	24764.0	20974.0	24764.0
Archaeoglobus_fulgidus_20	13997.0	16799.0	13997.0	16799.0
Archaeoglobus_fulgidus_25	11160.0	13330.0	11160.0	13330.0
Archaeoglobus_fulgidus_30	8188.0	9357.0	8188.0	9357.0
Archaeoglobus_fulgidus_35	5970.0	6389.0	5970.0	6328.0
Archaeoglobus_fulgidus_40	4907.0	5109.0	4907.0	5108.0
Archaeoglobus_fulgidus_45	3516.0	3811.0	3514.0	3811.0
Archaeoglobus_fulgidus_50	2706.0	2712.0	2699.0	2697.0
Archaeoglobus_fulgidus_55	2131.0	2143.0	2116.0	2128.0
Archaeoglobus_fulgidus_60	1565.0	1601.0	1557.0	1587.0
Archaeoglobus_fulgidus_65	1185.0	1200.0	1158.0	1178.0
Archaeoglobus_fulgidus_70	940.0	980.0	906.0	937.0
Archaeoglobus_fulgidus_75	899.0	901.0	797.0	818.0
Archaeoglobus_fulgidus_80	922.0	924.0	699.0	678.0
Archaeoglobus_fulgidus_85	1546.0	1534.0	672.0	626.0
Archaeoglobus_fulgidus_90	3564.0	3642.0	642.0	546.0
Archaeoglobus_fulgidus_95	7921.0	7710.0	3390.0	NA
Bacillus_anthracis_str._Ames_00	35748.0	40828.0	35748.0	40828.0
Bacillus_anthracis_str._Ames_05	32987.0	37006.0	32987.0	37006.0
Bacillus_anthracis_str._Ames_10	21858.0	27319.0	21858.0	27319.0
Bacillus_anthracis_str._Ames_15	18800.0	22363.0	18800.0	22363.0
Bacillus_anthracis_str._Ames_20	15133.0	15597.0	15133.0	15597.0
Bacillus_anthracis_str._Ames_25	11000.0	11521.0	10729.0	11521.0
Bacillus_anthracis_str._Ames_30	8426.0	8969.0	8426.0	8969.0
Bacillus_anthracis_str._Ames_35	5955.0	6177.0	5955.0	6124.0
Bacillus_anthracis_str._Ames_40	4371.0	4445.0	4345.0	4438.0
Bacillus_anthracis_str._Ames_45	3313.0	3338.0	3304.0	3327.0
Bacillus_anthracis_str._Ames_50	2496.0	2532.0	2495.0	2514.0
Bacillus_anthracis_str._Ames_55	1847.0	1912.0	1823.0	1902.0
Bacillus_anthracis_str._Ames_60	1478.0	1495.0	1470.0	1484.0
Bacillus_anthracis_str._Ames_65	1134.0	1144.0	1119.0	1126.0
Bacillus_anthracis_str._Ames_70	940.0	947.0	896.0	900.0
Bacillus_anthracis_str._Ames_75	870.0	859.0	770.0	749.0
Bacillus_anthracis_str._Ames_80	979.0	970.0	694.0	693.0
Bacillus_anthracis_str._Ames_85	1719.0	1701.0	668.0	607.0
Bacillus_anthracis_str._Ames_90	4164.0	4177.0	847.0	NA
Bacillus_anthracis_str._Ames_95	9769.0	9769.0	1817.0	NA
Bacillus_cereus_ATCC_10987_00	20455.0	24204.0	20455.0	24204.0
Bacillus_cereus_ATCC_10987_05	20404.0	23548.0	20404.0	23548.0
Bacillus_cereus_ATCC_10987_10	16501.0	18471.0	16501.0	18471.0
Bacillus_cereus_ATCC_10987_15	13042.0	14103.0	13042.0	14103.0
Bacillus_cereus_ATCC_10987_20	10341.0	11564.0	10341.0	11564.0
Bacillus_cereus_ATCC_10987_25	8051.0	8219.0	8051.0	8219.0
Bacillus_cereus_ATCC_10987_30	6669.0	7194.0	6653.0	7194.0
Bacillus_cereus_ATCC_10987_35	4980.0	5218.0	4980.0	5218.0
Bacillus_cereus_ATCC_10987_40	4021.0	4084.0	4016.0	4084.0
Bacillus_cereus_ATCC_10987_45	2956.0	3025.0	2953.0	3015.0
Bacillus_cereus_ATCC_10987_50	2302.0	2368.0	2295.0	2358.0
Bacillus_cereus_ATCC_10987_55	1803.0	1861.0	1781.0	1856.0
Bacillus_cereus_ATCC_10987_60	1377.0	1405.0	1355.0	1392.0
Bacillus_cereus_ATCC_10987_65	1094.0	1119.0	1075.0	1092.0
Bacillus_cereus_ATCC_10987_70	920.0	927.0	865.0	877.0
Bacillus_cereus_ATCC_10987_75	852.0	845.0	751.0	737.0
Bacillus_cereus_ATCC_10987_80	956.0	938.0	682.0	672.0
Bacillus_cereus_ATCC_10987_85	1613.0	1604.0	679.0	578.0
Bacillus_cereus_ATCC_10987_90	3416.0	3415.0	673.0	NA
Bacillus_cereus_ATCC_10987_95	7467.0	7467.0	611.0	NA
Bacillus_cereus_ATCC_14579_00	28874.0	36756.0	28874.0	36756.0
Bacillus_cereus_ATCC_14579_05	29437.0	36267.0	29437.0	36267.0
Bacillus_cereus_ATCC_14579_10	23394.0	29383.0	23394.0	29383.0
Bacillus_cereus_ATCC_14579_15	17846.0	18733.0	17846.0	18733.0
Bacillus_cereus_ATCC_14579_20	13785.0	15503.0	13785.0	15503.0
Bacillus_cereus_ATCC_14579_25	9992.0	10528.0	9992.0	10528.0
Bacillus_cereus_ATCC_14579_30	7910.0	8468.0	7867.0	8468.0
Bacillus_cereus_ATCC_14579_35	5843.0	6084.0	5839.0	6070.0
Bacillus_cereus_ATCC_14579_40	4373.0	4512.0	4373.0	4512.0
Bacillus_cereus_ATCC_14579_45	3250.0	3427.0	3243.0	3427.0
Bacillus_cereus_ATCC_14579_50	2477.0	2538.0	2453.0	2514.0
Bacillus_cereus_ATCC_14579_55	1945.0	1919.0	1920.0	1898.0
Bacillus_cereus_ATCC_14579_60	1413.0	1433.0	1396.0	1424.0
Bacillus_cereus_ATCC_14579_65	1124.0	1129.0	1104.0	1110.0
Bacillus_cereus_ATCC_14579_70	920.0	930.0	866.0	884.0
Bacillus_cereus_ATCC_14579_75	877.0	872.0	768.0	767.0
Bacillus_cereus_ATCC_14579_80	961.0	945.0	694.0	693.0
Bacillus_cereus_ATCC_14579_85	1643.0	1649.0	649.0	621.0
Bacillus_cereus_ATCC_14579_90	3841.0	3825.0	640.0	508.0
Bacillus_cereus_ATCC_14579_95	9229.0	9335.0	NA	631.0
Bacillus_halodurans_00	23698.0	40480.0	23698.0	40480.0
Bacillus_halodurans_05	24014.0	48837.0	24014.0	48837.0
Bacillus_halodurans_10	21694.0	30727.0	21694.0	30727.0
Bacillus_halodurans_15	16874.0	23926.0	16874.0	23926.0
Bacillus_halodurans_20	13186.0	17437.0	13186.0	17437.0
Bacillus_halodurans_25	10466.0	12707.0	10466.0	12707.0
Bacillus_halodurans_30	7877.0	9404.0	7877.0	9404.0
Bacillus_halodurans_35	6041.0	6744.0	6017.0	6744.0
Bacillus_halodurans_40	4637.0	5131.0	4637.0	5131.0
Bacillus_halodurans_45	3266.0	3604.0	3263.0	3604.0
Bacillus_halodurans_50	2572.0	2716.0	2557.0	2695.0
Bacillus_halodurans_55	1903.0	2013.0	1888.0	2009.0
Bacillus_halodurans_60	1479.0	1559.0	1457.0	1546.0
Bacillus_halodurans_65	1135.0	1186.0	1127.0	1173.0
Bacillus_halodurans_70	948.0	961.0	919.0	926.0
Bacillus_halodurans_75	863.0	875.0	770.0	782.0
Bacillus_halodurans_80	934.0	934.0	668.0	689.0
Bacillus_halodurans_85	1447.0	1437.0	613.0	622.0
Bacillus_halodurans_90	3357.0	3360.0	582.0	NA
Bacillus_halodurans_95	8146.0	8146.0	2563.0	NA
Bacillus_subtilis_00	46465.0	53120.0	46465.0	53120.0
Bacillus_subtilis_05	40762.0	48296.0	40762.0	48296.0
Bacillus_subtilis_10	32256.0	36761.0	32256.0	36761.0
Bacillus_subtilis_20	18956.0	20499.0	18956.0	20499.0
Bacillus_subtilis_25	13045.0	14889.0	13045.0	14889.0
Bacillus_subtilis_30	9098.0	9425.0	8995.0	9425.0
Bacillus_subtilis_35	6501.0	7124.0	6473.0	7124.0
Bacillus_subtilis_40	5050.0	5083.0	5015.0	5083.0
Bacillus_subtilis_45	3490.0	3751.0	3487.0	3731.0
Bacillus_subtilis_50	2751.0	2868.0	2734.0	2867.0
Bacillus_subtilis_55	2035.0	2094.0	2024.0	2085.0
Bacillus_subtilis_60	1546.0	1591.0	1539.0	1577.0
Bacillus_subtilis_65	1211.0	1211.0	1187.0	1200.0
Bacillus_subtilis_70	988.0	994.0	950.0	955.0
Bacillus_subtilis_75	898.0	886.0	793.0	798.0
Bacillus_subtilis_80	973.0	970.0	705.0	722.0
Bacillus_subtilis_85	1513.0	1526.0	674.0	639.0
Bacillus_subtilis_90	3545.0	3504.0	644.0	520.0
Bacillus_subtilis_95	9123.0	9123.0	1413.0	NA
Bacteroides_thetaiotaomicron_00	32514.0	47175.0	32514.0	47175.0
Bacteroides_thetaiotaomicron_05	32514.0	46609.0	32514.0	46609.0
Bacteroides_thetaiotaomicron_10	26248.0	32026.0	26248.0	32026.0
Bacteroides_thetaiotaomicron_15	20657.0	23860.0	20657.0	23860.0
Bacteroides_thetaiotaomicron_20	14949.0	16611.0	14949.0	16611.0
Bacteroides_thetaiotaomicron_25	11792.0	13049.0	11792.0	13049.0
Bacteroides_thetaiotaomicron_30	8781.0	9638.0	8781.0	9638.0
Bacteroides_thetaiotaomicron_35	6502.0	6798.0	6452.0	6766.0
Bacteroides_thetaiotaomicron_40	4760.0	5004.0	4749.0	4997.0
Bacteroides_thetaiotaomicron_45	3666.0	3773.0	3665.0	3771.0
Bacteroides_thetaiotaomicron_50	2632.0	2722.0	2614.0	2708.0
Bacteroides_thetaiotaomicron_55	2023.0	2070.0	2015.0	2047.0
Bacteroides_thetaiotaomicron_60	1539.0	1564.0	1523.0	1552.0
Bacteroides_thetaiotaomicron_65	1156.0	1192.0	1137.0	1173.0
Bacteroides_thetaiotaomicron_70	972.0	984.0	936.0	945.0
Bacteroides_thetaiotaomicron_75	863.0	871.0	778.0	788.0
Bacteroides_thetaiotaomicron_80	943.0	933.0	704.0	692.0
Bacteroides_thetaiotaomicron_85	1543.0	1539.0	666.0	616.0
Bacteroides_thetaiotaomicron_90	3533.0	3555.0	680.0	507.0
Bacteroides_thetaiotaomicron_95	8962.0	8962.0	1577.0	NA
Bdellovibrio_bacteriovorus_00	44264.0	47094.0	44264.0	47094.0
Bdellovibrio_bacteriovorus_05	42484.0	42045.0	42484.0	42045.0
Bdellovibrio_bacteriovorus_10	31714.0	32885.0	31714.0	32885.0
Bdellovibrio_bacteriovorus_15	25281.0	26535.0	25281.0	26535.0
Bdellovibrio_bacteriovorus_20	18385.0	19008.0	18385.0	19008.0
Bdellovibrio_bacteriovorus_25	13391.0	13686.0	13391.0	13686.0
Bdellovibrio_bacteriovorus_30	10840.0	10530.0	10840.0	10530.0
Bdellovibrio_bacteriovorus_35	7544.0	7461.0	7533.0	7461.0
Bdellovibrio_bacteriovorus_40	5250.0	5232.0	5245.0	5232.0
Bdellovibrio_bacteriovorus_45	3936.0	3930.0	3918.0	3930.0
Bdellovibrio_bacteriovorus_50	2832.0	2874.0	2820.0	2864.0
Bdellovibrio_bacteriovorus_55	2106.0	2079.0	2085.0	2079.0
Bdellovibrio_bacteriovorus_60	1610.0	1617.0	1606.0	1609.0
Bdellovibrio_bacteriovorus_65	1212.0	1210.0	1190.0	1197.0
Bdellovibrio_bacteriovorus_70	989.0	976.0	944.0	937.0
Bdellovibrio_bacteriovorus_75	892.0	878.0	801.0	794.0
Bdellovibrio_bacteriovorus_80	970.0	943.0	723.0	707.0
Bdellovibrio_bacteriovorus_85	1576.0	1517.0	713.0	623.0
Bdellovibrio_bacteriovorus_90	3533.0	3582.0	679.0	577.0
Bdellovibrio_bacteriovorus_95	9215.0	9215.0	1111.0	NA
Bifidobacterium_longum_00	31073.0	38300.0	31073.0	38300.0
Bifidobacterium_longum_05	30892.0	39352.0	30892.0	39352.0
Bifidobacterium_longum_10	23738.0	33909.0	23738.0	33909.0
Bifidobacterium_longum_15	18708.0	21374.0	18708.0	21374.0
Bifidobacterium_longum_20	13038.0	14312.0	13038.0	14312.0
Bifidobacterium_longum_25	11711.0	11919.0	11711.0	11919.0
Bifidobacterium_longum_30	7380.0	7703.0	7380.0	7703.0
Bifidobacterium_longum_35	5597.0	5940.0	5597.0	5940.0
Bifidobacterium_longum_40	4440.0	4619.0	4440.0	4619.0
Bifidobacterium_longum_45	3101.0	3249.0	3096.0	3249.0
Bifidobacterium_longum_50	2545.0	2674.0	2545.0	2664.0
Bifidobacterium_longum_55	1942.0	2011.0	1913.0	1966.0
Bifidobacterium_longum_60	1459.0	1531.0	1440.0	1519.0
Bifidobacterium_longum_65	1162.0	1186.0	1144.0	1167.0
Bifidobacterium_longum_70	928.0	958.0	894.0	910.0
Bifidobacterium_longum_75	875.0	868.0	768.0	778.0
Bifidobacterium_longum_80	949.0	956.0	707.0	695.0
Bifidobacterium_longum_85	1572.0	1568.0	726.0	563.0
Bifidobacterium_longum_90	3550.0	3543.0	660.0	NA
Bifidobacterium_longum_95	9566.0	9566.0	1237.0	NA
Bordetella_bronchiseptica_00	30273.0	34813.0	30273.0	34813.0
Bordetella_bronchiseptica_05	28672.0	33932.0	28672.0	33932.0
Bordetella_bronchiseptica_10	23858.0	29094.0	23858.0	29094.0
Bordetella_bronchiseptica_15	17295.0	19810.0	17295.0	19810.0
Bordetella_bronchiseptica_20	11862.0	14519.0	11862.0	14519.0
Bordetella_bronchiseptica_25	9697.0	10312.0	9697.0	10312.0
Bordetella_bronchiseptica_30	6821.0	7389.0	6779.0	7389.0
Bordetella_bronchiseptica_35	5352.0	5535.0	5332.0	5488.0
Bordetella_bronchiseptica_40	4045.0	4078.0	4017.0	4078.0
Bordetella_bronchiseptica_45	2962.0	3108.0	2955.0	3076.0
Bordetella_bronchiseptica_50	2282.0	2333.0	2273.0	2327.0
Bordetella_bronchiseptica_55	1692.0	1767.0	1678.0	1746.0
Bordetella_bronchiseptica_60	1314.0	1341.0	1300.0	1331.0
Bordetella_bronchiseptica_65	1069.0	1087.0	1054.0	1069.0
Bordetella_bronchiseptica_70	891.0	912.0	839.0	865.0
Bordetella_bronchiseptica_75	873.0	877.0	750.0	738.0
Bordetella_bronchiseptica_80	984.0	968.0	663.0	670.0
Bordetella_bronchiseptica_85	1804.0	1800.0	628.0	614.0
Bordetella_bronchiseptica_90	3931.0	3916.0	679.0	NA
Bordetella_bronchiseptica_95	9887.0	9897.0	1977.0	NA
Bordetella_parapertussis_00	31576.0	39020.0	31576.0	39020.0
Bordetella_parapertussis_05	30467.0	34740.0	30467.0	34740.0
Bordetella_parapertussis_10	19622.0	24189.0	19622.0	24189.0
Bordetella_parapertussis_15	15441.0	18003.0	15441.0	18003.0
Bordetella_parapertussis_20	12192.0	13759.0	12192.0	13759.0
Bordetella_parapertussis_25	8958.0	9845.0	8958.0	9845.0
Bordetella_parapertussis_30	6698.0	7354.0	6698.0	7354.0
Bordetella_parapertussis_35	5333.0	5699.0	5333.0	5699.0
Bordetella_parapertussis_40	3997.0	4122.0	3997.0	4111.0
Bordetella_parapertussis_45	3052.0	3142.0	3007.0	3134.0
Bordetella_parapertussis_50	2203.0	2293.0	2184.0	2285.0
Bordetella_parapertussis_55	1732.0	1745.0	1724.0	1734.0
Bordetella_parapertussis_60	1322.0	1367.0	1309.0	1349.0
Bordetella_parapertussis_65	1077.0	1085.0	1061.0	1063.0
Bordetella_parapertussis_70	911.0	917.0	867.0	881.0
Bordetella_parapertussis_75	886.0	887.0	769.0	761.0
Bordetella_parapertussis_80	983.0	979.0	686.0	706.0
Bordetella_parapertussis_85	1782.0	1752.0	663.0	577.0
Bordetella_parapertussis_90	3881.0	3886.0	693.0	NA
Bordetella_parapertussis_95	9408.0	9327.0	NA	589.0
Bordetella_pertussis_00	12806.0	29403.0	12806.0	29403.0
Bordetella_pertussis_05	12020.0	31242.0	12020.0	31242.0
Bordetella_pertussis_10	10833.0	22056.0	10833.0	22056.0
Bordetella_pertussis_15	9538.0	16126.0	9538.0	16126.0
Bordetella_pertussis_20	8462.0	12789.0	8462.0	12789.0
Bordetella_pertussis_25	6125.0	9245.0	6125.0	9245.0
