Name	Consensus ancestor	Consensus evolved	Strain ancestor	Strain evolved
Acidobacterium_capsulatum_ATCC_51196_00	99.334	99.992	99.334	99.992
Acidobacterium_capsulatum_ATCC_51196_05	99.332	99.99	99.332	99.99
Acidobacterium_capsulatum_ATCC_51196_10	99.321	99.98	99.321	99.98
Acidobacterium_capsulatum_ATCC_51196_15	98.803	99.973	98.803	99.973
Acidobacterium_capsulatum_ATCC_51196_20	99.271	99.72	99.271	99.72
Acidobacterium_capsulatum_ATCC_51196_25	99.023	99.877	98.866	99.877
Acidobacterium_capsulatum_ATCC_51196_30	98.776	99.491	98.776	99.308
Acidobacterium_capsulatum_ATCC_51196_35	98.853	99.458	98.853	99.443
Acidobacterium_capsulatum_ATCC_51196_40	98.356	99.046	98.199	98.908
Acidobacterium_capsulatum_ATCC_51196_45	97.56	98.26	97.416	98.161
Acidobacterium_capsulatum_ATCC_51196_50	96.382	96.874	96.096	96.744
Acidobacterium_capsulatum_ATCC_51196_55	94.332	95.36	93.601	95.146
Acidobacterium_capsulatum_ATCC_51196_60	92.015	92.507	91.194	91.888
Acidobacterium_capsulatum_ATCC_51196_65	88.333	88.888	87.043	87.187
Acidobacterium_capsulatum_ATCC_51196_70	84.462	85.358	80.893	81.233
Acidobacterium_capsulatum_ATCC_51196_75	81.833	81.485	73.176	72.956
Acidobacterium_capsulatum_ATCC_51196_80	81.831	82.241	63.93	63.362
Acidobacterium_capsulatum_ATCC_51196_85	86.742	87.486	56.635	55.569
Acidobacterium_capsulatum_ATCC_51196_90	93.031	93.238	54.656	47.681
Acidobacterium_capsulatum_ATCC_51196_95	97.437	97.194	52.626	46.537
Aeropyrum_pernix_00	99.879	99.983	99.879	99.983
Aeropyrum_pernix_05	99.904	99.988	99.904	99.988
Aeropyrum_pernix_10	99.904	99.995	99.904	99.995
Aeropyrum_pernix_15	99.889	99.986	99.889	99.986
Aeropyrum_pernix_20	99.805	99.926	99.805	99.926
Aeropyrum_pernix_25	99.656	99.601	99.656	99.601
Aeropyrum_pernix_30	99.551	99.622	99.551	99.622
Aeropyrum_pernix_35	99.372	98.718	99.372	98.558
Aeropyrum_pernix_40	98.859	98.898	98.643	98.898
Aeropyrum_pernix_45	98.294	98.079	97.847	97.612
Aeropyrum_pernix_50	96.464	97.078	96.212	96.716
Aeropyrum_pernix_55	94.942	95.235	94.445	94.962
Aeropyrum_pernix_60	92.244	92.943	91.589	92.345
Aeropyrum_pernix_65	88.478	89.007	87.118	87.221
Aeropyrum_pernix_70	85.746	85.135	81.909	81.034
Aeropyrum_pernix_75	81.728	80.987	73.938	72.607
Aeropyrum_pernix_80	82.227	81.637	64.904	62.056
Aeropyrum_pernix_85	88.408	87.072	57.624	55.667
Aeropyrum_pernix_90	94.179	93.764	50.65	52.432
Aeropyrum_pernix_95	98.299	98.102	40.982	58.944
Aquifex_aeolicus_00	99.397	99.998	99.397	99.998
Aquifex_aeolicus_05	99.441	100.0	99.441	100.0
Aquifex_aeolicus_10	99.443	99.99	99.443	99.99
Aquifex_aeolicus_15	99.413	99.949	99.413	99.949
Aquifex_aeolicus_20	99.412	99.963	99.412	99.963
Aquifex_aeolicus_25	98.497	99.927	98.497	99.927
Aquifex_aeolicus_30	98.871	99.699	98.871	99.518
Aquifex_aeolicus_35	98.537	99.541	98.537	99.541
Aquifex_aeolicus_40	98.475	98.401	98.475	98.366
Aquifex_aeolicus_45	97.844	98.259	97.782	98.226
Aquifex_aeolicus_50	96.792	97.759	96.666	97.203
Aquifex_aeolicus_55	94.731	95.349	94.527	94.793
Aquifex_aeolicus_60	92.267	92.858	91.805	91.923
Aquifex_aeolicus_65	87.924	89.461	86.213	87.782
Aquifex_aeolicus_70	83.786	85.332	80.24	81.853
Aquifex_aeolicus_75	79.487	79.654	70.659	71.854
Aquifex_aeolicus_80	81.884	79.962	66.342	62.221
Aquifex_aeolicus_85	87.775	85.106	58.689	54.64
Aquifex_aeolicus_90	93.496	93.655	55.311	47.761
Aquifex_aeolicus_95	97.401	97.648	49.073	50.17
Archaeoglobus_fulgidus_00	99.226	99.993	99.226	99.993
Archaeoglobus_fulgidus_05	99.192	99.917	99.192	99.917
Archaeoglobus_fulgidus_10	99.216	99.978	99.216	99.978
Archaeoglobus_fulgidus_15	99.144	99.985	99.144	99.985
Archaeoglobus_fulgidus_20	98.89	99.472	98.89	99.472
Archaeoglobus_fulgidus_25	98.713	99.87	98.713	99.87
Archaeoglobus_fulgidus_30	98.828	99.731	98.828	99.731
Archaeoglobus_fulgidus_35	98.496	99.252	98.496	99.027
Archaeoglobus_fulgidus_40	98.336	98.684	98.293	98.588
Archaeoglobus_fulgidus_45	96.766	98.149	96.678	98.08
Archaeoglobus_fulgidus_50	96.164	96.905	95.807	96.599
Archaeoglobus_fulgidus_55	94.785	95.73	94.692	95.407
Archaeoglobus_fulgidus_60	92.084	92.863	91.272	92.176
Archaeoglobus_fulgidus_65	88.659	89.249	87.163	87.476
Archaeoglobus_fulgidus_70	84.039	85.791	80.881	82.071
Archaeoglobus_fulgidus_75	81.14	81.297	72.64	73.754
Archaeoglobus_fulgidus_80	81.458	80.752	64.28	62.864
Archaeoglobus_fulgidus_85	86.592	86.228	58.345	55.636
Archaeoglobus_fulgidus_90	92.825	93.248	52.77	50.235
Archaeoglobus_fulgidus_95	96.945	96.063	58.644	40.95
Bacillus_anthracis_str._Ames_00	98.947	99.992	98.947	99.992
Bacillus_anthracis_str._Ames_05	98.942	99.994	98.942	99.994
Bacillus_anthracis_str._Ames_10	98.933	99.992	98.933	99.992
Bacillus_anthracis_str._Ames_15	98.847	99.927	98.847	99.927
Bacillus_anthracis_str._Ames_20	98.746	99.004	98.746	99.004
Bacillus_anthracis_str._Ames_25	98.451	99.691	98.107	99.691
Bacillus_anthracis_str._Ames_30	98.453	99.713	98.453	99.69
Bacillus_anthracis_str._Ames_35	98.181	99.321	98.17	99.166
Bacillus_anthracis_str._Ames_40	97.664	98.472	97.498	98.378
Bacillus_anthracis_str._Ames_45	97.189	98.084	97.091	97.972
Bacillus_anthracis_str._Ames_50	95.86	96.533	95.621	96.323
Bacillus_anthracis_str._Ames_55	93.622	95.05	93.049	94.53
Bacillus_anthracis_str._Ames_60	90.898	92.102	90.051	91.22
Bacillus_anthracis_str._Ames_65	87.253	88.63	85.457	86.786
Bacillus_anthracis_str._Ames_70	83.237	83.877	78.962	79.405
Bacillus_anthracis_str._Ames_75	81.509	80.793	72.289	70.883
Bacillus_anthracis_str._Ames_80	81.203	81.056	62.438	62.766
Bacillus_anthracis_str._Ames_85	87.031	87.08	56.787	54.069
Bacillus_anthracis_str._Ames_90	93.739	93.76	55.131	46.71
Bacillus_anthracis_str._Ames_95	96.897	97.109	52.253	46.53
Bacillus_cereus_ATCC_10987_00	98.494	99.8	98.494	99.8
Bacillus_cereus_ATCC_10987_05	98.523	99.801	98.523	99.801
Bacillus_cereus_ATCC_10987_10	98.475	99.671	98.475	99.671
Bacillus_cereus_ATCC_10987_15	98.481	99.575	98.481	99.575
Bacillus_cereus_ATCC_10987_20	98.18	99.515	98.18	99.515
Bacillus_cereus_ATCC_10987_25	98.19	99.243	98.19	99.243
Bacillus_cereus_ATCC_10987_30	97.892	99.209	97.613	99.168
Bacillus_cereus_ATCC_10987_35	97.625	98.877	97.571	98.846
Bacillus_cereus_ATCC_10987_40	96.984	97.837	96.81	97.817
Bacillus_cereus_ATCC_10987_45	96.318	97.526	96.172	97.373
Bacillus_cereus_ATCC_10987_50	94.74	96.191	94.484	95.946
Bacillus_cereus_ATCC_10987_55	92.759	94.217	92.191	93.784
Bacillus_cereus_ATCC_10987_60	89.908	90.958	89.002	90.248
Bacillus_cereus_ATCC_10987_65	85.868	87.168	83.932	85.201
Bacillus_cereus_ATCC_10987_70	82.427	83.3	77.714	78.734
Bacillus_cereus_ATCC_10987_75	80.198	79.961	70.726	69.856
Bacillus_cereus_ATCC_10987_80	80.767	80.191	62.256	61.747
Bacillus_cereus_ATCC_10987_85	86.665	86.253	57.42	52.716
Bacillus_cereus_ATCC_10987_90	92.139	91.976	53.15	47.551
Bacillus_cereus_ATCC_10987_95	95.993	96.257	50.368	47.61
Bacillus_cereus_ATCC_14579_00	98.439	99.988	98.439	99.988
Bacillus_cereus_ATCC_14579_05	98.448	99.979	98.448	99.979
Bacillus_cereus_ATCC_14579_10	98.428	99.579	98.428	99.579
Bacillus_cereus_ATCC_14579_15	98.447	99.722	98.447	99.722
Bacillus_cereus_ATCC_14579_20	97.91	99.813	97.91	99.813
Bacillus_cereus_ATCC_14579_25	98.102	99.735	98.102	99.735
Bacillus_cereus_ATCC_14579_30	97.851	99.548	97.742	99.533
Bacillus_cereus_ATCC_14579_35	97.672	99.221	97.615	99.148
Bacillus_cereus_ATCC_14579_40	96.933	98.598	96.898	98.587
Bacillus_cereus_ATCC_14579_45	96.214	97.937	96.138	97.919
Bacillus_cereus_ATCC_14579_50	95.02	96.504	94.67	96.296
Bacillus_cereus_ATCC_14579_55	93.381	94.488	92.921	94.015
Bacillus_cereus_ATCC_14579_60	90.647	91.914	89.74	91.04
Bacillus_cereus_ATCC_14579_65	86.94	87.742	85.061	86.068
Bacillus_cereus_ATCC_14579_70	82.704	83.798	78.201	79.304
Bacillus_cereus_ATCC_14579_75	80.232	80.893	70.789	71.427
Bacillus_cereus_ATCC_14579_80	81.386	81.208	62.904	62.936
Bacillus_cereus_ATCC_14579_85	86.631	86.857	56.424	54.843
Bacillus_cereus_ATCC_14579_90	93.032	93.11	52.453	49.267
Bacillus_cereus_ATCC_14579_95	95.406	96.7	47.804	50.512
Bacillus_halodurans_00	96.513	99.979	96.513	99.979
Bacillus_halodurans_05	95.966	99.985	95.966	99.985
Bacillus_halodurans_10	96.494	99.985	96.494	99.985
Bacillus_halodurans_15	96.407	99.968	96.407	99.968
Bacillus_halodurans_20	96.27	99.964	96.27	99.964
Bacillus_halodurans_25	96.341	99.495	96.341	99.495
Bacillus_halodurans_30	96.035	99.797	95.995	99.797
Bacillus_halodurans_35	95.845	99.61	95.619	99.61
Bacillus_halodurans_40	95.274	98.849	95.249	98.849
Bacillus_halodurans_45	94.6	98.208	94.352	98.162
Bacillus_halodurans_50	93.571	97.364	93.408	97.097
Bacillus_halodurans_55	92.042	95.484	91.8	95.216
