strain	ancestor consensus	evolved consensus	ancestor strain	evolved strain
Campylobacter_jejuni	88.029	55.057	54.279	87.518
Shigella_flexneri_2a_str._2457T	79.933	53.17	81.233	52.978
Porphyromonas_gingivalis	82.664	55.06	83.468	55.778
Corynebacterium_diphtheriae	84.864	54.678	55.914	86.427
Photorhabdus_luminescens_subsp._laumondii	88.692	NA	88.692	NA
Oceanobacillus_iheyensis	86.348	56.78	86.428	54.606
Enterococcus_faecalis	55.324	87.053	56.201	86.656
Tropheryma_whipplei_str._Twist	55.135	82.382	82.304	53.871
Prochlorococcus_marinus_subsp._pastoris_str._CCMP1986	94.131	NA	94.131	NA
Thermoplasma_acidophilum	58.982	87.16	54.768	86.891
Fibrobacter_succinogenes_subsp._succinogenes_S85	92.154	NA	92.154	NA
Sulfolobus_tokodaii	87.121	53.104	56.638	86.775
Chromobacterium_violaceum	86.67	86.564	54.455	57.054
Neisseria_meningitidis_serogroup_A	81.691	82.316	54.305	53.553
Neisseria_meningitidis_serogroup_B	53.382	78.957	52.784	80.292
Mycoplasma_pneumoniae	56.165	56.033	85.459	83.748
Bifidobacterium_longum	85.685	85.261	51.571	59.383
Synechocystis_sp._PCC_6803	85.84	56.721	86.352	56.708
Pyrococcus_horikoshii	85.839	53.395	59.604	87.542
Bordetella_parapertussis	56.199	86.96	52.374	86.119
Mycobacterium_leprae	85.078	84.736	56.004	54.693
Thermotoga_maritima	56.589	86.53	85.74	56.55
Streptococcus_agalactiae_serogroup_V	85.497	86.3	54.612	54.501
Lactobacillus_plantarum	57.354	85.135	86.27	54.533
Listeria_monocytogenes	86.717	87.06	55.126	56.151
Methanosarcina_mazei	84.223	84.813	55.838	55.084
Chlorobaculum_tepidum	54.696	86.373	86.116	58.024
Chlamydophila_caviae	56.287	87.542	88.553	56.852
Solibacter_usitatus_Ellin6076	54.184	57.333	86.448	86.023
Shigella_flexneri	53.995	78.636	81.067	51.242
Prochlorococcus_marinus_str._MIT_9313	60.12	53.269	86.004	86.397
Mycoplasma_mobile_163K	50.464	88.468	89.634	58.064
Tropheryma_whipplei_TW0827	56.887	84.54	52.728	83.117
Chlamydia_trachomatis	55.199	87.42	86.379	57.096
Methanopyrus_kandleri	53.315	86.635	59.157	89.497
Pseudomonas_syringae_pv._tomato	84.257	84.436	54.274	55.258
Caenorhabditis_briggsae	50.369	77.587	52.438	79.164
Rhodopseudomonas_palustris	54.183	88.458	87.714	57.394
Gloeobacter_violaceus	87.031	55.278	87.001	56.046
Methanothermobacter_thermautotrophicus_str._Delta_H	NA	92.566	NA	92.566
Rickettsia_conorii	58.766	88.23	88.284	52.979
Leishmania_major	53.002	80.662	52.523	81.549
Thermoplasma_volcanium	54.495	58.681	85.468	87.144
Pseudomonas_aeruginosa	83.966	85.066	52.541	54.06
Helicobacter_hepaticus	55.204	55.135	86.387	86.871
Streptococcus_agalactiae_serogroup_III	53.96	81.262	83.467	51.77
Mycoplasma_genitalium	52.199	88.258	89.27	56.199
Haemophilus_influenzae	53.798	54.746	84.271	84.474
Pasteurella_multocida	87.267	55.176	57.431	86.698
Prochlorococcus_marinus	86.722	57.799	86.127	54.55
Corynebacterium_glutamicum	55.825	85.032	84.899	54.758
Archaeoglobus_fulgidus	55.636	58.345	86.592	86.228
Bacillus_subtilis	56.232	86.931	86.235	57.202
Staphylococcus_aureus_subsp._aureus_N315	91.265	NA	91.265	NA
Corynebacterium_efficiens	54.079	84.448	54.983	84.385
Geobacter_sulfurreducens	87.201	55.534	87.457	56.464
Yersinia_pestis_KIM	84.0	55.343	83.266	55.338
Bacillus_cereus_ATCC_10987	86.253	57.42	52.716	86.665
Pseudomonas_putida_KT2440	86.303	86.127	57.589	53.417
Sinorhizobium_meliloti	86.291	55.668	54.785	86.259
Lactobacillus_johnsonii	55.751	86.839	85.555	53.955
Chlamydophila_pneumoniae_CWL029	85.415	59.951	86.34	54.176
Streptomyces_coelicolor	88.2	88.538	52.807	55.556
Helicobacter_pylori	55.212	85.648	54.516	85.592
Dehalococcoides_ethenogenes_195	82.316	55.031	82.91	52.077
Rickettsia_prowazekii	53.438	90.356	57.516	89.293
Wigglesworthia_glossinidia_endosymbiont_of_Glossina_brevipalpis	93.796	NA	93.796	NA
Synechococcus_sp._WH_8102	57.051	86.934	56.164	86.385
Nitrosomonas_europaea	54.921	83.682	54.468	83.026
Mycoplasma_penetrans	86.834	59.006	86.978	48.233
Bacillus_anthracis_str._Ames	54.069	87.031	56.787	87.08
Chlamydophila_pneumoniae_AR39	57.011	86.823	85.797	56.286
Escherichia_coli	86.335	85.66	57.391	54.805
Xylella_fastidiosa_Temecula1	51.469	82.726	80.902	55.896
Treponema_denticola	55.881	87.421	87.172	56.064
Helicobacter_pylori_J99	54.236	83.265	53.095	84.173
Bacillus_cereus_ATCC_14579	86.631	54.843	86.857	56.424
Mycobacterium_avium_subsp._paratuberculosis	NA	93.046	NA	93.046
Sulfolobus_solfataricus	80.119	56.137	82.778	48.766
Lactococcus_lactis_subsp._lactis	85.512	54.61	54.069	84.352
Xanthomonas_axonopodis_pv._citri	53.462	87.129	87.33	56.592
Borrelia_burgdorferi	87.627	87.827	53.855	54.651
Staphylococcus_aureus_subsp._aureus_MW2	91.766	NA	91.766	NA
Bordetella_bronchiseptica	86.893	87.013	54.233	54.717
Mycobacterium_tuberculosis_CDC1551	86.222	54.726	85.869	54.6
Buchnera_aphidicola_Schizaphis_graminum	NA	89.317	NA	89.317
Haemophilus_ducreyi	86.188	86.322	57.027	51.803
Mycobacterium_tuberculosis_H37Rv	53.293	86.798	56.648	86.502
Clostridium_tetani	56.476	87.841	86.999	52.474
Pyrococcus_furiosus	86.382	58.333	86.512	53.341
Acidobacterium_capsulatum_ATCC_51196	56.635	87.486	86.742	55.569
Xanthomonas_campestris_pv._campestris	53.948	56.002	86.594	87.499
Streptococcus_pneumoniae_R6	85.614	84.93	56.722	53.03
Wolinella_succinogenes	55.62	84.831	55.459	85.181
Streptococcus_pyogenes_MGAS315	84.338	56.918	53.037	85.716
Methanosarcina_acetivorans	81.736	82.888	54.964	53.563
Streptococcus_pyogenes	85.718	56.098	85.901	54.187
Aquifex_aeolicus	85.106	54.64	87.775	58.689
Clostridium_acetobutylicum	55.248	87.574	54.568	87.957
Desulfovibrio_vulgaris_subsp._vulgaris_str._Hildenborough	NA	92.559	NA	92.559
Streptococcus_pneumoniae	55.569	85.49	54.828	85.344
Methanococcus_maripaludis	57.481	87.954	54.924	88.718
Cyanidioschyzon_merolae	85.122	81.523	53.735	55.938
Clostridium_perfringens	87.607	87.337	54.805	53.987
Streptococcus_pyogenes_MGAS8232	52.846	56.163	84.936	85.389
Ralstonia_solanacearum	55.695	86.491	54.41	86.949
Ureaplasma_parvum	54.81	89.601	88.84	51.607
Mycoplasma_gallisepticum	84.912	84.27	53.946	52.912
Methanocaldococcus_jannaschii	87.914	52.828	88.485	56.737
Staphylococcus_epidermidis	52.226	56.12	85.949	87.24
Buchnera_aphidicola_Acyrthosiphon_pisum	94.209	NA	94.209	NA
Mycoplasma_mycoides_subsp._mycoides_SC	45.894	70.813	42.89	75.336
Salmonella_enterica_subsp._enterica_serovar_Typhi_Ty2	NA	91.436	NA	91.436
Escherichia_coli_O157_H7_EDL933	52.26	80.327	81.876	55.201
Bordetella_pertussis	51.543	51.626	82.469	81.131
Streptococcus_pyogenes_SSI-1	57.062	85.968	53.195	85.533
Aeropyrum_pernix	88.408	57.624	55.667	87.072
Wolbachia_sp._wMel	81.176	81.869	50.738	54.206
Pyrococcus_abyssi	58.589	55.124	87.656	86.389
Shewanella_oneidensis	53.515	82.689	83.11	55.558
Mycobacterium_bovis	54.723	56.282	87.565	87.316
Streptococcus_mutans	52.866	86.087	86.824	56.371
Vibrio_cholerae	85.675	85.808	54.445	58.392
Coxiella_burnetii	80.929	52.026	80.644	53.491
Chlamydophila_pneumoniae_TW-183	55.014	87.977	87.61	60.163
Candidatus_Blochmannia_floridanus	88.299	50.51	57.527	87.627
Pyrobaculum_aerophilum	85.031	54.492	58.308	85.992
Escherichia_coli_O157_H7	81.07	53.744	55.364	82.873
Listeria_monocytogenes_str._4b_F2365	54.218	56.948	86.337	86.374
Listeria_innocua	86.739	55.973	54.743	86.313
Mycoplasma_pulmonis	88.278	88.308	55.391	52.193
Nanoarchaeum_equitans	47.843	61.862	87.71	90.453
Treponema_pallidum	55.996	56.43	86.123	85.999
Streptomyces_avermitilis	55.145	87.875	87.596	54.109
Staphylococcus_aureus_subsp._aureus_Mu50	91.744	NA	91.744	NA
Xylella_fastidiosa	54.069	53.841	81.857	83.8
Buchnera_aphidicola_Baizongia_pistaciae	NA	95.314	NA	95.314
Thermoanaerobacter_tengcongensis	83.227	81.748	53.736	52.246
Bradyrhizobium_japonicum	54.854	86.71	86.689	55.989
Corynebacterium_glutamicum_ATCC_13032	55.088	85.949	56.788	85.73
Caulobacter_vibrioides	53.469	86.885	87.677	56.964
Onion_yellows_phytoplasma	73.544	53.077	76.181	40.946
Mesorhizobium_loti	55.897	87.87	55.714	87.347
Fusobacterium_nucleatum_subsp._nucleatum	NA	91.668	NA	91.668
Bdellovibrio_bacteriovorus	60.251	55.187	87.214	88.155
Yersinia_pestis	55.998	53.499	83.0	83.097
Chlamydia_muridarum	55.495	87.362	56.157	86.771
