strain	ancestor consensus	evolved consensus	ancestor strain	evolved strain
Campylobacter_jejuni	5944	5870	5870	5944
Shigella_flexneri_2a_str._2457T	5481	6864	6864	5481
Porphyromonas_gingivalis	5602	6788	6788	5623
Corynebacterium_diphtheriae	6517	6517	6998	6954
Photorhabdus_luminescens_subsp._laumondii	5670	NA	5690	NA
Oceanobacillus_iheyensis	6007	5688	5692	6007
Enterococcus_faecalis	6190	5853	6200	5853
Tropheryma_whipplei_str._Twist	5007	6095	6095	5007
Prochlorococcus_marinus_subsp._pastoris_str._CCMP1986	5594	NA	5585	NA
Thermoplasma_acidophilum	6779	6817	7084	7084
Fibrobacter_succinogenes_subsp._succinogenes_S85	7299	NA	7320	NA
Sulfolobus_tokodaii	5414	4768	5414	4768
Chromobacterium_violaceum	5917	5917	5910	5943
Neisseria_meningitidis_serogroup_A	4640	6575	4640	6575
Neisseria_meningitidis_serogroup_B	4579	6551	6551	4579
Mycoplasma_pneumoniae	6187	6187	5597	5597
Bifidobacterium_longum	5915	5770	5915	5770
Synechocystis_sp._PCC_6803	6401	6943	6943	6401
Pyrococcus_horikoshii	6399	6599	6599	6399
Bordetella_parapertussis	5581	5357	5379	5583
Mycobacterium_leprae	5955	5253	5955	5253
Thermotoga_maritima	6241	6241	6122	6122
Streptococcus_agalactiae_serogroup_V	6588	6628	6017	6017
Lactobacillus_plantarum	6511	6511	7165	7165
Listeria_monocytogenes	6448	6950	6950	6397
Helicobacter_pylori	6038	5774	6038	5774
Methanosarcina_mazei	5298	6364	6364	5298
Chlorobaculum_tepidum	5919	6617	5919	6617
Chlamydophila_caviae	5909	5909	5909	5909
Solibacter_usitatus_Ellin6076	5977	6378	5977	6358
Caenorhabditis_briggsae	5188	4132	4132	5186
Prochlorococcus_marinus_str._MIT_9313	6192	6847	6192	6882
Mycoplasma_mobile_163K	4282	3949	3949	4282
Tropheryma_whipplei_TW0827	5093	5031	6436	6436
Chlamydia_trachomatis	5807	5713	5807	5713
Methanopyrus_kandleri	6397	6075	6397	6075
Pseudomonas_syringae_pv._tomato	6167	6529	6172	6529
Shigella_flexneri	5114	6658	5114	6658
Bacillus_anthracis_str._Ames	6084	6088	5919	5919
Gloeobacter_violaceus	5686	6052	6083	5686
Methanothermobacter_thermautotrophicus_str._Delta_H	NA	6838	NA	6838
