strain	ancestor consensus	evolved consensus	ancestor strain	evolved strain
Campylobacter_jejuni	81.92	69.953	70.031	80.56
Shigella_flexneri_2a_str._2457T	74.944	67.659	80.108	72.425
Porphyromonas_gingivalis	77.893	69.62	80.779	73.072
Corynebacterium_diphtheriae	79.529	72.268	71.434	80.575
Photorhabdus_luminescens_subsp._laumondii	86.655	NA	86.655	NA
Chlorobaculum_tepidum	80.407	72.167	80.847	72.628
Enterococcus_faecalis	80.061	71.576	71.853	80.374
Tropheryma_whipplei_str._Twist	70.168	80.877	76.816	72.915
Prochlorococcus_marinus_subsp._pastoris_str._CCMP1986	88.746	NA	88.746	NA
Thermoplasma_acidophilum	73.252	82.215	73.86	81.111
Fibrobacter_succinogenes_subsp._succinogenes_S85	88.775	NA	88.775	NA
Sulfolobus_tokodaii	79.642	70.262	70.11	80.435
Chromobacterium_violaceum	72.142	82.005	80.346	70.393
Neisseria_meningitidis_serogroup_A	80.382	68.387	76.362	73.092
Neisseria_meningitidis_serogroup_B	67.574	79.737	71.864	74.099
Mycoplasma_pneumoniae	70.393	80.164	73.885	81.942
Bifidobacterium_longum	72.575	70.375	79.837	80.491
Synechocystis_sp._PCC_6803	80.279	72.844	81.369	73.415
Pyrococcus_horikoshii	82.27	72.798	81.11	72.767
Bordetella_parapertussis	80.453	81.383	70.1	70.62
Mycobacterium_leprae	71.513	79.848	80.71	71.737
Thermotoga_maritima	82.372	80.985	74.527	73.699
Streptococcus_agalactiae_serogroup_V	79.56	80.727	70.665	70.441
Lactobacillus_plantarum	81.11	72.279	73.198	80.872
Listeria_monocytogenes	72.446	71.439	81.323	81.175
Methanosarcina_mazei	80.067	77.666	72.291	69.366
Oceanobacillus_iheyensis	80.377	70.987	80.822	72.543
Chlamydophila_caviae	71.54	82.64	73.889	81.3
Solibacter_usitatus_Ellin6076	81.235	71.694	80.464	72.356
Caenorhabditis_briggsae	67.578	76.081	64.61	72.596
Prochlorococcus_marinus_str._MIT_9313	72.85	81.192	74.233	80.796
Mycoplasma_mobile_163K	69.675	65.687	79.612	81.86
Mycoplasma_genitalium	80.338	70.393	78.744	68.408
Chlamydia_trachomatis	71.162	81.698	80.925	73.303
Methanopyrus_kandleri	81.603	73.148	72.472	82.202
Pseudomonas_syringae_pv._tomato	72.263	70.742	79.036	80.681
Shigella_flexneri	74.039	67.096	79.335	72.131
Rhodopseudomonas_palustris	72.06	81.8	81.787	71.877
Xanthomonas_campestris_pv._campestris	80.142	70.042	70.925	79.668
Methanothermobacter_thermautotrophicus_str._Delta_H	NA	89.138	NA	89.138
Rickettsia_conorii	72.367	70.632	80.516	82.034
Leishmania_major	66.746	72.147	79.248	75.004
Thermoplasma_volcanium	81.707	81.107	73.002	71.79
Pseudomonas_aeruginosa	77.23	79.68	67.545	70.189
Helicobacter_hepaticus	71.288	79.904	71.711	81.031
Streptococcus_agalactiae_serogroup_III	69.654	78.744	75.66	65.538
Tropheryma_whipplei_TW0827	70.378	82.431	74.121	78.044
Haemophilus_influenzae	69.561	78.45	69.794	78.341
Pasteurella_multocida	72.455	71.676	80.478	80.652
Prochlorococcus_marinus	81.394	81.363	72.17	73.495
Corynebacterium_glutamicum	71.932	80.002	81.004	72.043
Archaeoglobus_fulgidus	81.14	73.754	72.64	81.297
Bacillus_subtilis	81.088	73.974	81.694	72.709
Staphylococcus_aureus_subsp._aureus_N315	87.66	NA	87.66	NA
Corynebacterium_efficiens	71.564	69.352	80.358	78.661
Geobacter_sulfurreducens	80.668	72.059	81.588	72.332
Yersinia_pestis_KIM	80.169	79.255	72.014	71.293
Bacillus_cereus_ATCC_10987	79.961	80.198	70.726	69.856
Pseudomonas_putida_KT2440	72.103	80.057	81.033	71.608
Sinorhizobium_meliloti	79.05	71.728	70.162	80.137
Lactobacillus_johnsonii	68.865	80.414	79.678	71.111
Chlamydophila_pneumoniae_CWL029	82.589	74.999	82.582	75.195
Streptomyces_coelicolor	81.317	80.679	69.748	68.414
Staphylococcus_epidermidis	70.95	80.926	79.061	69.917
Dehalococcoides_ethenogenes_195	76.88	80.848	69.737	69.88
Rickettsia_prowazekii	71.603	80.562	82.578	68.569
Wigglesworthia_glossinidia_endosymbiont_of_Glossina_brevipalpis	NA	90.426	NA	90.426
Synechococcus_sp._WH_8102	72.021	73.773	81.48	81.915
Nitrosomonas_europaea	69.983	79.825	72.208	77.538
Mycoplasma_penetrans	80.298	66.924	78.704	68.226
Bacillus_anthracis_str._Ames	72.289	80.793	81.509	70.883
Chlamydophila_pneumoniae_AR39	80.383	81.667	73.153	72.123
Escherichia_coli	80.631	73.2	71.974	81.606
Xylella_fastidiosa_Temecula1	70.269	80.595	77.914	73.108
Treponema_denticola	71.051	80.925	79.973	71.439
Helicobacter_pylori_J99	72.884	68.118	80.582	77.666
Bacillus_cereus_ATCC_14579	80.232	71.427	80.893	70.789
Mycobacterium_avium_subsp._paratuberculosis	NA	88.657	NA	88.657
Sulfolobus_solfataricus	80.204	71.346	67.653	75.31
Lactococcus_lactis_subsp._lactis	69.011	80.192	71.266	77.666
Xanthomonas_axonopodis_pv._citri	70.824	81.891	80.996	71.691
Borrelia_burgdorferi	78.803	69.834	66.084	79.593
Staphylococcus_aureus_subsp._aureus_MW2	87.94	NA	87.94	NA
Bordetella_bronchiseptica	80.278	69.356	69.447	79.453
Mycobacterium_tuberculosis_CDC1551	79.712	69.216	80.583	71.441
Buchnera_aphidicola_Schizaphis_graminum	NA	85.819	NA	85.819
Haemophilus_ducreyi	70.565	79.848	79.151	71.121
Mycobacterium_tuberculosis_H37Rv	70.962	70.22	80.77	79.683
Clostridium_tetani	69.921	80.967	81.239	69.881
Streptococcus_pyogenes_SSI-1	70.426	79.401	72.356	80.507
Acidobacterium_capsulatum_ATCC_51196	73.176	81.485	81.833	72.956
Gloeobacter_violaceus	81.195	72.237	80.834	71.578
Streptococcus_pneumoniae_R6	71.352	80.137	78.853	70.379
Wolinella_succinogenes	72.533	72.257	80.717	81.472
Streptococcus_pyogenes_MGAS315	80.405	69.625	71.418	78.564
Methanosarcina_acetivorans	80.308	76.901	72.394	68.319
Streptococcus_pyogenes	81.237	72.169	81.303	71.4
Aquifex_aeolicus	71.854	79.654	79.487	70.659
Clostridium_acetobutylicum	81.744	70.491	69.557	80.603
Desulfovibrio_vulgaris_subsp._vulgaris_str._Hildenborough	88.371	NA	88.371	NA
Streptococcus_pneumoniae	70.667	71.417	80.51	79.387
Methanococcus_maripaludis	70.442	81.447	72.155	82.223
Cyanidioschyzon_merolae	81.12	69.893	73.015	78.851
Clostridium_perfringens	80.76	69.776	69.286	81.572
Streptococcus_pyogenes_MGAS8232	71.924	79.98	71.529	81.099
Ralstonia_solanacearum	70.828	81.008	80.635	71.045
Ureaplasma_parvum	66.614	79.069	79.446	67.377
Mycoplasma_gallisepticum	77.447	79.624	70.022	67.096
Methanocaldococcus_jannaschii	70.991	70.331	80.387	81.818
Helicobacter_pylori	71.24	78.289	69.257	79.623
Buchnera_aphidicola_Acyrthosiphon_pisum	90.975	NA	90.975	NA
Mycoplasma_mycoides_subsp._mycoides_SC	63.591	65.064	54.044	74.322
Salmonella_enterica_subsp._enterica_serovar_Typhi_Ty2	88.324	NA	88.324	NA
Escherichia_coli_O157_H7_EDL933	71.835	67.487	74.696	79.376
Bordetella_pertussis	76.762	74.412	64.725	67.519
Pyrococcus_furiosus	79.338	81.079	71.845	71.911
Aeropyrum_pernix	81.728	80.987	72.607	73.938
Wolbachia_sp._wMel	75.249	79.868	66.702	70.082
Pyrococcus_abyssi	72.961	82.447	73.954	82.07
Shewanella_oneidensis	77.68	71.878	80.033	69.755
Mycobacterium_bovis	80.44	80.934	70.962	71.342
Streptococcus_mutans	70.733	79.769	71.336	79.872
Vibrio_cholerae	80.176	72.208	81.011	72.874
Coxiella_burnetii	70.048	77.799	76.338	68.242
Chlamydophila_pneumoniae_TW-183	83.356	72.95	81.653	74.647
Candidatus_Blochmannia_floridanus	81.621	82.138	69.578	71.578
Pyrobaculum_aerophilum	81.857	73.967	81.416	73.696
Escherichia_coli_O157_H7	77.053	69.293	80.533	72.742
Listeria_monocytogenes_str._4b_F2365	71.617	81.778	72.327	80.856
Listeria_innocua	71.098	80.653	71.564	79.746
Mycoplasma_pulmonis	81.018	78.128	66.567	69.394
Nanoarchaeum_equitans	71.946	68.719	80.708	79.234
Treponema_pallidum	71.687	79.838	73.021	80.531
Streptomyces_avermitilis	80.839	69.674	69.212	80.393
Staphylococcus_aureus_subsp._aureus_Mu50	NA	87.804	NA	87.804
Xylella_fastidiosa	69.11	76.946	71.838	80.688
Buchnera_aphidicola_Baizongia_pistaciae	NA	90.044	NA	90.044
Thermoanaerobacter_tengcongensis	72.374	68.056	77.15	80.457
Bradyrhizobium_japonicum	71.239	81.143	80.54	71.897
Corynebacterium_glutamicum_ATCC_13032	73.016	71.638	81.388	80.029
Caulobacter_vibrioides	80.946	71.078	70.142	80.603
Onion_yellows_phytoplasma	65.893	76.921	56.417	66.401
Mesorhizobium_loti	71.067	81.213	81.098	72.082
Fusobacterium_nucleatum_subsp._nucleatum	NA	87.555	NA	87.555
Bdellovibrio_bacteriovorus	74.871	73.662	81.525	82.721
Yersinia_pestis	81.165	73.744	70.607	78.063
Chlamydia_muridarum	71.881	80.458	73.062	81.572
Salmonella_typhi	72.099	81.89	73.117	79.911
Bacillus_halodurans	80.652	78.525	70.291	72.81
Bacteroides_thetaiotaomicron	72.278	81.246	72.815	80.467
Synechococcus_elongatus	73.203	81.481	81.841	72.635
Thermus_thermophilus_HB27	70.015	81.842	81.146	72.069

