strain	ancestor consensus	evolved consensus	ancestor strain	evolved strain
Campylobacter_jejuni	1684	1688	1683	1690
Shigella_flexneri_2a_str._2457T	1970	2036	2038	1968
Porphyromonas_gingivalis	2012	1955	2012	1950
Corynebacterium_diphtheriae	2057	2052	2065	2065
Mycobacterium_leprae	1981	1907	1907	1980
Chlorobaculum_tepidum	2098	2098	2071	2060
not	NA	884	NA	884
Enterococcus_faecalis	1936	1898	1904	1935
Tropheryma_whipplei_str._Twist	1888	2020	2020	1888
Prochlorococcus_marinus_subsp._pastoris_str._CCMP1986	1855	NA	1856	NA
Thermoplasma_acidophilum	2073	2069	2094	2096
Fibrobacter_succinogenes_subsp._succinogenes_S85	2118	NA	2118	NA
Sulfolobus_tokodaii	1753	1801	1751	1806
Chromobacterium_violaceum	1883	1882	1900	1903
Neisseria_meningitidis_serogroup_A	1815	1987	1822	1987
Neisseria_meningitidis_serogroup_B	1867	2091	2089	1871
Mycoplasma_pneumoniae	2097	2097	1868	1871
Bifidobacterium_longum	2011	2007	2012	2002
Synechocystis_sp._PCC_6803	1998	2044	2041	1998
Pyrococcus_horikoshii	1972	1972	1977	1977
Bordetella_parapertussis	1792	1776	1784	1777
Photorhabdus_luminescens_subsp._laumondii	NA	1947	NA	1947
Thermotoga_maritima	2292	2290	2224	2224
Streptococcus_agalactiae_serogroup_V	1903	1937	1937	1904
Lactobacillus_plantarum	2002	2073	2006	2076
Listeria_monocytogenes	1986	1966	1966	1986
Methanosarcina_mazei	1884	1895	1993	1993
Oceanobacillus_iheyensis	1952	1909	1952	1906
Chlamydophila_caviae	1943	1992	1928	1979
Solibacter_usitatus_Ellin6076	1955	1909	1955	1908
Shigella_flexneri	2057	1965	2055	1967
Prochlorococcus_marinus_str._MIT_9313	2020	2067	2020	2072
Mycoplasma_mobile_163K	1555	1549	1542	1555
Tropheryma_whipplei_TW0827	1878	1865	2002	1995
Chlamydia_trachomatis	1970	1855	1864	1968
Methanopyrus_kandleri	1932	1919	1932	1928
Pseudomonas_syringae_pv._tomato	2033	1958	1961	2028
Caenorhabditis_briggsae	1708	1842	1838	1711
Rhodopseudomonas_palustris	1905	1915	1915	1906
Gloeobacter_violaceus	1999	1991	1991	1999
Methanothermobacter_thermautotrophicus_str._Delta_H	NA	2077	NA	2071
Rickettsia_conorii	1914	1928	1895	1903
Leishmania_major	1927	2076	2083	1927
Thermoplasma_volcanium	2073	2075	2078	2078
Pseudomonas_aeruginosa	1822	1859	1865	1820
Helicobacter_hepaticus	1869	1853	1855	1871
Streptococcus_agalactiae_serogroup_III	1878	1877	1867	1867
Mycoplasma_genitalium	1669	1663	1645	1624
Haemophilus_influenzae	1879	1828	1828	1868
Pasteurella_multocida	1926	1958	1958	1938
Prochlorococcus_marinus	2036	1965	2031	1965
Corynebacterium_glutamicum	2016	2058	2059	2015
Archaeoglobus_fulgidus	2143	2155	2158	2145
Bacillus_subtilis	2090	2081	2097	2098
Staphylococcus_aureus_subsp._aureus_N315	1826	NA	1824	NA
Corynebacterium_efficiens	1857	1855	1852	1846
Geobacter_sulfurreducens	2037	2037	2055	2047
Yersinia_pestis_KIM	1994	1996	2059	2055
Bacillus_cereus_ATCC_10987	1887	1860	1860	1884
Pseudomonas_putida_KT2440	1939	1943	1997	1989
Sinorhizobium_meliloti	1917	1873	1917	1871
Lactobacillus_johnsonii	1822	1864	1840	1812
Chlamydophila_pneumoniae_CWL029	2146	2252	2252	2146
Streptomyces_coelicolor	1667	1645	1670	1646
Helicobacter_pylori	1923	1840	1926	1838
Buchnera_aphidicola_Schizaphis_graminum	NA	1847	NA	1844
Rickettsia_prowazekii	1731	1762	1730	1767
Wigglesworthia_glossinidia_endosymbiont_of_Glossina_brevipalpis	NA	1497	NA	1489
Synechococcus_sp._WH_8102	1994	1943	1938	1978
Nitrosomonas_europaea	2077	2086	2005	2010
Mycoplasma_penetrans	1651	1565	1563	1651
