strain	ancestor consensus	evolved consensus	ancestor strain	evolved strain
Campylobacter_jejuni	1051	1079	1061	1048
Shigella_flexneri_2a_str._2457T	1117	1089	1195	1209
Porphyromonas_gingivalis	1110	1158	1175	1097
Corynebacterium_diphtheriae	1159	1165	1147	1177
Mycobacterium_leprae	1175	1131	1159	1190
Oceanobacillus_iheyensis	1131	1158	1130	1106
Enterococcus_faecalis	1140	1123	1099	1131
Tropheryma_whipplei_str._Twist	1178	1186	1308	1292
Escherichia_coli_O157_H7	1096	1073	1158	1176
Thermoplasma_acidophilum	1216	1200	1188	1214
Fibrobacter_succinogenes_subsp._succinogenes_S85	1815	NA	1815	NA
Sulfolobus_tokodaii	1078	1100	1054	1129
Chromobacterium_violaceum	1116	1119	1134	1088
Neisseria_meningitidis_serogroup_A	1062	1166	1031	1162
Neisseria_meningitidis_serogroup_B	1036	1049	1201	1218
Mycoplasma_pneumoniae	1137	1082	1121	1059
Bifidobacterium_longum	1167	1144	1162	1186
Synechocystis_sp._PCC_6803	1157	1146	1166	1174
Pyrococcus_horikoshii	1148	1137	1177	1164
Bordetella_parapertussis	1061	1063	1077	1085
Photorhabdus_luminescens_subsp._laumondii	1673	NA	1673	NA
Thermotoga_maritima	1210	1227	1232	1205
Streptococcus_agalactiae_serogroup_V	1106	1075	1098	1126
Lactobacillus_plantarum	1165	1196	1175	1183
Listeria_monocytogenes	1133	1125	1112	1112
Methanosarcina_mazei	1145	1153	1092	1072
Chlorobaculum_tepidum	1165	1198	1181	1191
Chlamydophila_caviae	1152	1147	1127	1136
Solibacter_usitatus_Ellin6076	1128	1148	1105	1131
Caenorhabditis_briggsae	1093	1074	969	997
Prochlorococcus_marinus_str._MIT_9313	1222	1238	1242	1205
Mycoplasma_mobile_163K	974	961	950	939
Tropheryma_whipplei_TW0827	1073	1142	1126	1093
Chlamydia_trachomatis	1120	1117	1108	1126
Methanopyrus_kandleri	1115	1122	1095	1110
Pseudomonas_syringae_pv._tomato	1140	1164	1122	1183
Shigella_flexneri	1111	1222	1082	1202
Bacillus_anthracis_str._Ames	1144	1126	1119	1134
Gloeobacter_violaceus	1135	1119	1158	1139
Methanothermobacter_thermautotrophicus_str._Delta_H	NA	1758	NA	1758
Rickettsia_conorii	1149	1146	1169	1172
Leishmania_major	1054	1151	1068	1173
Thermoplasma_volcanium	1193	1173	1194	1217
Pseudomonas_aeruginosa	1103	1128	1066	1047
Helicobacter_hepaticus	1102	1129	1111	1111
Streptococcus_agalactiae_serogroup_III	1055	1100	1118	1036
Mycoplasma_genitalium	1024	1010	1042	1068
Haemophilus_influenzae	1021	1054	1050	1075
Pasteurella_multocida	1135	1150	1120	1154
Prochlorococcus_marinus	1145	1160	1154	1143
Corynebacterium_glutamicum	1142	1157	1192	1182
Archaeoglobus_fulgidus	1185	1158	1178	1200
Bacillus_subtilis	1211	1187	1200	1211
Staphylococcus_aureus_subsp._aureus_N315	1552	NA	1552	NA
Corynebacterium_efficiens	1121	1096	1063	1078
Geobacter_sulfurreducens	1153	1139	1160	1177
Yersinia_pestis_KIM	1164	1101	1118	1150
Bacillus_cereus_ATCC_10987	1119	1075	1092	1094
