All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                           scaffolds
# misassemblies                    1        
    # relocations                  0        
    # translocations               0        
    # inversions                   0        
    # interspecies translocations  1        
# possibly misassembled contigs    103      
# misassembled contigs             1        
Misassembled contigs length        19577    
# local misassemblies              4        
# mismatches                       42651    
# indels                           436      
    # short indels                 35       
    # long indels                  401      
Indels length                      22083    
