Assembly	scaffolds
# misassemblies	25
    # relocations	18
    # translocations	0
    # inversions	6
    # interspecies translocations	1
# possibly misassembled contigs	1
# misassembled contigs	19
Misassembled contigs length	706576
# local misassemblies	4
# mismatches	42058
# indels	31
    # short indels	27
    # long indels	4
Indels length	254
