Assembly	contigs
# misassemblies	14
    # relocations	14
    # translocations	0
    # inversions	0
# misassembled contigs	14
Misassembled contigs length	215181
# local misassemblies	18
# mismatches	10149
# indels	84
    # short indels	78
    # long indels	6
Indels length	203
