All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     final.contigs
# misassemblies              7            
    # relocations            7            
    # translocations         0            
    # inversions             0            
# misassembled contigs       7            
Misassembled contigs length  378190       
# local misassemblies        4            
# mismatches                 978          
# indels                     15           
    # short indels           10           
    # long indels            5            
Indels length                92           
