All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         scaffolds
# misassemblies                  156      
    # relocations                135      
    # translocations             0        
    # inversions                 21       
# possibly misassembled contigs  1        
# misassembled contigs           39       
Misassembled contigs length      3025443  
# local misassemblies            4        
# mismatches                     59448    
# indels                         51       
    # short indels               51       
    # long indels                0        
Indels length                    59       
