All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     contigs
# misassemblies              17     
    # relocations            17     
    # translocations         0      
    # inversions             0      
# misassembled contigs       17     
Misassembled contigs length  23200  
# local misassemblies        1      
# mismatches                 4013   
# indels                     16     
    # short indels           16     
    # long indels            0      
Indels length                20     
