All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         final.contigs
# misassemblies                  1            
    # relocations                0            
    # translocations             0            
    # inversions                 1            
# possibly misassembled contigs  2            
# misassembled contigs           1            
Misassembled contigs length      6203         
# local misassemblies            4            
# mismatches                     1385         
# indels                         21           
    # short indels               17           
    # long indels                4            
Indels length                    142          
