All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         scaffolds
# misassemblies                  0        
    # relocations                0        
    # translocations             0        
    # inversions                 0        
# possibly misassembled contigs  1        
# misassembled contigs           0        
Misassembled contigs length      0        
# local misassemblies            3        
# mismatches                     5640     
# indels                         21       
    # short indels               20       
    # long indels                1        
Indels length                    32       
