All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     contigs
# misassemblies              7      
    # relocations            7      
    # translocations         0      
    # inversions             0      
# misassembled contigs       6      
Misassembled contigs length  551437 
# local misassemblies        15     
# mismatches                 676    
# indels                     17     
    # short indels           17     
    # long indels            0      
Indels length                18     
