All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     contigs
# misassemblies              26     
    # relocations            26     
    # translocations         0      
    # inversions             0      
# misassembled contigs       26     
Misassembled contigs length  54456  
# local misassemblies        3      
# mismatches                 21269  
# indels                     32     
    # short indels           31     
    # long indels            1      
Indels length                124    
