All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         final.contigs
# misassemblies                  4            
    # relocations                3            
    # translocations             0            
    # inversions                 1            
# possibly misassembled contigs  1            
# misassembled contigs           4            
Misassembled contigs length      12922        
# local misassemblies            8            
# mismatches                     4792         
# indels                         454          
    # short indels               449          
    # long indels                5            
Indels length                    785          
